"","couche","min.14C","max.14C","site","level","pays","lat","long","alt","nb_mamm","First_predite","proba_value","Second_predite","proba_value.1","MAT.moy","MAT.min","MAT.max","Tp.moy","Tp.min","Tp.max","Tmax.moy","Tmax.min","Tmax.max","Tmin.moy","Tmin.min","Tmin.max","Mta.moy","Mta.min","Mta.max","It.moy","It.min","It.max","Itc.moy","Itc.min","Itc.max","P.moy","P.min","P.max","D.moy","D.min","D.max","MAT_se.fit","Tp_se.fit","Tmax_se.fit","Tmin_se.fit","Mta_se.fit","It_se.fit","Itc_se.fit","P_se.fit","D_se.fit","MAT_df","Tp_df","Tmax_df","Tmin_df","Mta_df","It_df","Itc_df","P_df","D_df","MAT_residual.scale","Tp_residual.scale","Tmax_residual.scale","Tmin_residual.scale","Mta_residual.scale","It_residual.scale","Itc_residual.scale","P_residual.scale","D_residual.scale"
"55","Mastalna_13",-16243,-15109,"Mastalna","13","slovaquie",48.5994,20.463,453,9,6,0.999937353,4,4.68e-05,6.510647369,-0.562905952,13.58420069,1025.632064,578.5721582,1472.691969,21.62139817,16.15158453,27.09121182,-7.885427481,-23.58595906,7.815104099,29.50682566,11.91960916,47.09404215,-145.7493297,-521.3356982,229.8370387,10.24198511,-177.8030906,198.2870609,401.5947349,-289.7256503,1092.91512,0.757012761,-2.573932246,4.087957768,1.728977822,109.2741691,1.336978185,3.837656927,4.298816435,91.80400174,45.96357033,168.9783847,0.814177795,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"56","Medvezh'ya_brown loam A",-16603,-13809,"Medvezh'ya","brown loam A","Russia",61.8,59.15,762,9,8,0.999999911,9,8.78e-08,-4.912161568,-11.94808591,2.123762769,404.3725584,-40.30913491,849.0542517,17.84053265,12.39981662,23.28124868,-26.84922263,-42.46623253,-11.23221272,44.68975528,27.19609701,62.18341355,-714.2107501,-1087.799122,-340.622378,-246.3260196,-433.3707572,-59.28128194,160.9851862,-526.6576014,848.6279738,-0.071317754,-3.384543226,3.241907718,1.691098035,106.8801058,1.30768663,3.753578562,4.20463463,89.79268846,44.95656478,165.2762752,0.796340156,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"57","Mezhyrich_NA",-19035,-16529.5,"Mezhyrich",NA,"Ukraine",49.465,32.028,101,13,7,1,6,8.54e-11,6.0324515,-0.696843409,12.76174641,1083.742829,658.4406068,1509.045051,22.13354145,16.9299348,27.3371481,-10.0034573,-24.93986938,4.932954769,32.13699875,15.40572367,48.86827383,-158.3246302,-515.6318169,198.9825565,53.74543376,-125.147792,232.6386595,311.4382478,-346.2366912,969.1131868,3.130869232,-0.037964063,6.299702527,1.352732304,85.49484937,1.04603631,3.002538511,3.363344391,71.82639197,35.96136722,132.2067389,0.637003315,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"58","Miron_108",-18309,-16228,"Miron","108","spain",43.25,-3.45,260,11,6,0.616038028,4,0.383961902,9.547759379,2.48587461,16.60964415,1308.024623,861.7021884,1754.347057,22.70311929,17.24232866,28.16390991,-2.33324738,-18.00787932,13.34138456,25.03636667,7.478162089,42.59457124,20.58811411,-354.3786861,395.5549143,121.6907574,-66.04411871,309.4256335,476.8641704,-213.315811,1167.044152,2.126166855,-1.199283416,5.451617127,1.717299354,108.5360712,1.327947499,3.811735278,4.269779862,91.18390696,45.65310706,167.8370116,0.80867839,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"59","Miron_12",-15765,-15259.5,"Miron","12","spain",43.25,-3.45,260,8,4,0.569047165,6,0.430952684,9.344396939,2.165415816,16.52337806,1299.430619,845.7075079,1753.153731,22.83802714,17.28668864,28.38936565,-2.636927993,-18.5714682,13.29761222,25.47495514,7.625609907,43.32430036,11.35870615,-369.8255908,392.5430031,124.8263227,-66.02147163,315.6741169,487.9094476,-213.714725,1189.53362,1.958715298,-1.421875791,5.339306388,1.831944015,115.7817975,1.416599539,4.066201746,4.554824788,97.27122548,48.70084886,179.0415913,0.862664703,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"60","Miron_14",-18269.5,-17301,"Miron","14","spain",43.25,-3.45,260,6,6,0.92211421,4,0.077770535,6.837648689,-0.304835457,13.98013284,1171.738846,720.3224022,1623.15529,21.82332679,16.30021054,27.34644303,-6.706210632,-22.55974178,9.147320516,28.52953742,10.77093586,46.28813897,-98.2684791,-477.5148862,280.977928,73.3557546,-116.5217951,263.2333043,441.1818013,-256.8754081,1139.239011,1.569076626,-1.794327992,4.932481244,1.796796202,113.5603994,1.389420555,3.988187299,4.467435583,95.40497256,47.76647077,175.6064861,0.846113554,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"61","Monruz et Champréveyres_NA",-16114,-14127,"Monruz et Champréveyres",NA,"Switzerland",47.02,6.97,520,7,6,0.999837016,4,0.000155428,6.115905687,-0.707992115,12.93980349,955.2466304,523.9653539,1386.527907,20.23615401,14.95939315,25.51291487,-7.210150579,-22.3565442,7.936243048,27.44630459,10.47981511,44.41279407,-150.3023002,-512.6326422,212.0280419,-39.54935177,-220.957524,141.8588205,399.9837629,-266.9370113,1066.904537,1.348684988,-1.864696927,4.562066902,1.463813134,92.51533585,1.131932522,3.249094662,3.639528441,77.72448077,38.91436724,143.0630143,0.689311415,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"62","Moulin du Roc (Saint-Chamassy, Dordogne)_Zone central Couche Brune S.I.",-15641,-14892.5,"Moulin du Roc (Saint-Chamassy, Dordogne)","Zone central Couche Brune S.I.","France",44.87,0.92,60,11,6,0.999301969,4,0.00068446,5.230184946,-1.822211578,12.28258147,1085.125652,639.4028899,1530.848414,20.17419076,14.72073717,25.62764435,-8.78275193,-24.43632367,6.870819807,28.95694269,11.42232906,46.49155632,-119.9580398,-494.4210401,254.5049605,36.09373032,-151.388908,223.5763686,417.1396937,-272.1129719,1106.392359,1.072124973,-2.248857273,4.393107218,1.707758514,107.9330748,1.32056979,3.790558333,4.246058148,90.67731444,45.39947105,166.9045557,0.804185597,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"63","Muranska cave section 3_4",-16358,-15803.5,"Muranska cave section 3","4","slovaquie",49.254,20.1753,1560,5,6,0.979918721,8,0.019989313,8.782159243,1.825594283,15.7387242,891.4592309,451.7931774,1331.125284,26.97758384,21.59823457,32.35693312,-8.81627283,-24.25713584,6.624590181,35.79385667,18.49751233,53.09020102,-321.2537379,-690.6283438,48.12086797,-30.65041085,-215.5854393,154.2846176,304.1692087,-375.7175398,984.0559573,1.037952052,-2.237902991,4.313807095,1.60899157,101.6908457,1.244195618,3.57133421,4.000490531,85.43305936,42.77382639,157.2517548,0.75767612,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"64","Oblazowa Cave _Layer III lower",-16139.5,-15613,"Oblazowa Cave ","Layer III lower","Poland",49.429,20.156,650,16,6,0.999537696,8,0.000384576,6.00454056,-0.877085604,12.88616672,946.488452,511.5586504,1381.418254,21.32279056,16.00138971,26.64419142,-8.450225732,-23.72475382,6.824302362,29.77301629,12.66299482,46.88303776,-196.9053842,-562.3009447,168.4901763,-32.83155241,-215.7743896,150.1112848,384.4783111,-288.0844357,1057.041058,1.00228679,-2.238279482,4.242853061,1.528335687,96.59326458,1.181826306,3.392309582,3.799953061,81.15045215,40.6296506,149.3690042,0.719695165,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
