",""couche"",""min.14C"",""max.14C"",""site"",""level"",""pays"",""lat"",""long"",""alt"",""nb_mamm"",""First_predite"",""proba_value"",""Second_predite"",""proba_value.1"",""MAT.moy"",""MAT.min"",""MAT.max"",""Tp.moy"",""Tp.min"",""Tp.max"",""Tmax.moy"",""Tmax.min"",""Tmax.max"",""Tmin.moy"",""Tmin.min"",""Tmin.max"",""Mta.moy"",""Mta.min"",""Mta.max"",""It.moy"",""It.min"",""It.max"",""Itc.moy"",""Itc.min"",""Itc.max"",""P.moy"",""P.min"",""P.max"",""D.moy"",""D.min"",""D.max"",""MAT_se.fit"",""Tp_se.fit"",""Tmax_se.fit"",""Tmin_se.fit"",""Mta_se.fit"",""It_se.fit"",""Itc_se.fit"",""P_se.fit"",""D_se.fit"",""MAT_df"",""Tp_df"",""Tmax_df"",""Tmin_df"",""Mta_df"",""It_df"",""Itc_df"",""P_df"",""D_df"",""MAT_residual.scale"",""Tp_residual.scale"",""Tmax_residual.scale"",""Tmin_residual.scale"",""Mta_residual.scale"",""It_residual.scale"",""Itc_residual.scale"",""P_residual.scale"",""D_residual.scale"""
"11,""Grotte Walou_B1"",-12132,-11122.5,""Grotte Walou"",""B1"",""Belgium"",50.55,5.7,175,5,8,0.997467046549918,6,0.00238942384067415,-1.70626676176789,-8.35845786015621,4.94592433662043,757.260301375201,336.83116368705,1177.68943906335,14.8862805736492,9.74229649825046,20.0302646490479,-16.827304078176,-31.5925757427854,-2.06203241356653,31.7135846518254,15.1740153996951,48.2531539039557,-359.398685517081,-712.61187041909,-6.18550061507165,-144.7609377547,-321.604416878546,32.082541369147,531.62029623572,-118.519047379845,1181.75963985129,0.583466660718159,-2.54905835466292,3.71599167609923,1.25623356597723,79.3959745093132,0.971416088743128,2.78834892165814,3.12341629307147,66.702572469262,33.3960211175223,122.775616925701,0.591561939875489,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"12,""Kartstein_Ahrensburgian layers (Kartstein abri)"",-12029.5,-10587,""Kartstein"",""Ahrensburgian layers (Kartstein abri)"",""Germany"",50.54,6.63,376,12,6,0.945103440198601,8,0.0548783678314695,1.84728238674825,-5.09494482176303,8.78950959525953,973.994239186875,535.234354550254,1412.7541238235,18.1701584139566,12.8018961857363,23.538420642177,-13.5029054240647,-28.9119442167035,1.90613336857414,31.6730638380241,14.4123679288199,48.9337597472282,-247.888173427971,-616.501483894313,120.725137038371,-41.964436050187,-226.518306235727,142.589434135353,353.281257668379,-325.204217841358,1031.76673317812,1.05295114740071,-2.21615223094173,4.32205452574314,1.59380925494445,100.731299023872,1.23245548803366,3.53763538701183,3.96274222387067,84.626919873306,42.3702159988233,155.767939846023,0.750526749309559,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"13,""Kesh Corran_NA"",-11991.5,-11264.5,""Kesh Corran"",NA,""UK"",54.2,-8.5,31,2,9,1,8,2.38026351394204e-17,-11.4820999995404,-18.3112284112256,-4.65297158785523,153.764968512492,-277.846890921623,585.376827946608,4.51819566881977,-0.762609900201316,9.79900123784086,-25.1628036111979,-40.3208071531383,-10.0048000692575,29.680999280019,12.7015047606683,46.6604937993697,-628.017700089229,-990.625773236817,-265.409626941641,-467.630698868121,-649.177922909612,-286.08347482663,314.242208366748,-353.189769664536,981.674186398032,0.139408402182767,-3.07643661285843,3.35525341722396,1.46975325352934,92.8907609321994,1.13652587833084,3.26227941250245,3.65429756312652,78.0398849072395,39.072280841525,143.643560654461,0.69210862481594,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"14,""Kilgreany Cave_NA"",-12574,-11761,""Kilgreany Cave"",NA,""UK"",52.08,-7.65,16,2,9,1,8,2.38026351394204e-17,-11.4820999995404,-18.3112284112256,-4.65297158785523,153.764968512492,-277.846890921623,585.376827946608,4.51819566881977,-0.762609900201316,9.79900123784086,-25.1628036111979,-40.3208071531383,-10.0048000692575,29.680999280019,12.7015047606683,46.6604937993697,-628.017700089229,-990.625773236817,-265.409626941641,-467.630698868121,-649.177922909612,-286.08347482663,314.242208366748,-353.189769664536,981.674186398032,0.139408402182767,-3.07643661285843,3.35525341722396,1.46975325352934,92.8907609321994,1.13652587833084,3.26227941250245,3.65429756312652,78.0398849072395,39.072280841525,143.643560654461,0.69210862481594,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"15,""Lapa do Picareiro_Camada E top"",-12052,-11245.5,""Lapa do Picareiro"",""Camada E top"",""Portugal"",39.531,-8.652,469,4,4,0.99952169616278,6,0.000478303837220253,13.6386609067798,6.43098491139256,20.846336902167,1574.34943762347,1118.81276426928,2029.88611097767,24.2261676233071,18.6526400453203,29.7996952012939,4.46110670751432,-11.5371249380198,20.4593383530484,19.7650609157956,1.84437064856829,37.685751183023,238.553125025952,-144.154791270871,621.261041322775,241.04683077964,49.4362049618517,432.657456597428,560.809229774764,-143.619381990465,1265.23784153999,3.2867955785224,-0.10730796185579,6.68089911890059,1.85923435932868,117.506590970022,1.43770252468213,4.12677567400538,4.6226776993083,98.7202682281384,49.4263420499058,181.708761537881,0.875515759230692,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"16,""Merlin's cave - west wall section_G"",-12381,-11770,""Merlin's cave - west wall section"",""G"",""UK"",52.08,-2.65,90,5,9,0.97427386166333,8,0.0257260045308321,-5.51274667110738,-12.1126117586931,1.08711841647835,509.475931020963,92.3538810690204,926.597980972905,11.8223057126822,6.71878411984252,16.925827305522,-21.4225517390514,-36.0716800528162,-6.77342342528658,33.2448574517375,16.8353881421009,49.6543267613742,-490.223384663404,-840.658201257071,-139.788568069738,-253.8639793284,-429.316410951936,-78.4115477048642,296.752512916632,-348.272846777837,941.777872611101,0.766727984786485,-2.34115664739304,3.87461261696601,1.18697882332161,75.0189637913598,0.91786301305763,2.63463038377358,2.95122586810477,63.0253347199001,31.5549360590947,116.007135343248,0.558949795907603,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"17,""Merlin's cave - west wall section_H I/f"",-12089.5,-11408,""Merlin's cave - west wall section"",""H I/f"",""UK"",52.08,-2.65,90,4,9,0.999999855136256,8,1.44863743265393e-07,-8.45304010126983,-15.0833813126204,-1.82269888991929,333.510605608055,-85.5375842044251,752.558795420535,9.10310349149495,3.97601542363859,14.2301915593513,-24.447458428268,-39.1642318592605,-9.73068499727541,33.5505619197675,17.065318785824,50.0358050537109,-580.724708277499,-932.777723834368,-228.67169272063,-345.958585460412,-522.221201830156,-169.695969090668,279.111958893656,-368.891927245311,927.115845032623,0.25608259262674,-2.86615328392522,3.3783184691787,1.22772365829464,77.5941026560728,0.949370042719903,2.725068037835,3.05253113876459,65.1887742116817,32.6381067417144,119.989254899542,0.578136589087901,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"18,""Miron_305-306"",-13579.5,-11810.5,""Miron"",""305-306"",""spain"",43.25,-3.45,260,7,6,0.880955727433917,4,0.119044269781544,9.1280741208154,1.88457291150594,16.3715753301249,1327.2605433201,869.459659035394,1785.06142760481,22.416734953496,16.8155045739528,28.0179653330391,-3.07451838971946,-19.1522680479175,13.0032312684786,25.4912533432174,7.48148962667454,43.5010170597603,45.9067043335381,-338.703433009271,430.516841676347,145.025112155669,-47.5378999325475,337.588124243885,485.978633864939,-221.951287577029,1193.90855530691,1.65627443995965,-1.75469923796165,5.06724811788094,1.89290281207938,119.634491138239,1.46373755317595,4.20150651742801,4.70638871987972,100.507971144502,50.3213924525607,184.999284231552,0.891370275270719,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"19,""Mureybet I_NA"",-12645.5,-11619.5,""Mureybet I"",NA,""Syrie"",35.92,37.67,322,3,3,0.866536990897452,4,0.133435741540509,18.9375684435223,10.7641307825256,27.1110061045189,2468.82453769958,1952.25017942638,2985.39889597279,29.7343304145219,23.4140018870361,36.0546589420077,7.09106624891581,-11.0507799057451,25.2329124035767,22.6432641656077,2.32136778250823,42.9651605487071,321.064189382465,-112.92303454712,755.05141331205,421.601592352576,204.316921633674,638.886263071479,-15.7550983572655,-814.570604016826,783.060407302295,8.31611992117635,4.46723801804929,12.1650018243034,2.66109282770589,168.185331165783,2.05776095821921,5.9065889636485,6.61636571457671,141.296763591415,70.7431441705035,260.076885753321,1.25311190369433,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
"21,""Peña de Estebanvela_lvl 1"",-13279.5,-12434.5,""Peña de Estebanvela"",""lvl 1"",""spain"",41.419,-3.374,1065,6,6,0.957311802365689,4,0.042688129872094,7.62743325664525,0.467897810250332,14.7869687030402,1248.54228229479,796.048168783105,1701.03639580648,21.7301051598146,16.193803544482,27.2664067751471,-5.43129723454075,-21.3226756232394,10.4600811541579,27.1614023943584,9.36040561340008,44.9623991753168,-19.2150606412142,-399.36684522429,360.936723941862,111.826008116155,-78.5048375442672,302.156853776576,455.970835477227,-243.752850578529,1155.69452153298,1.56992772848528,-1.80150636783424,4.94136182480479,1.81327966242076,114.602180482116,1.4021668304142,4.02477415690004,4.50841897151057,96.280199292057,48.2046711202706,177.217465956939,0.853875635621915,38,38,38,38,38,38,38,38,38,3.03640852152126,191.905884465861,2.34798382218673,6.73964353126576,7.54952590457405,161.225002211672,80.7206285936691,296.757656828112,1.42984852808664"
