"Taxon";"I";"II";"II.III";"III";"IV";"V";"VI";"VII";"VIII";"IX";"Ordre"
"59";"Talpa_caeca";0;0;0;0;0.2;0;0.2;0.2;0.2;0.2;"EULIPOTYPHLA"
"60";"Talpa_caucasica";0;0;0;0;0.167;0.167;0.167;0.167;0.167;0.167;"EULIPOTYPHLA"
"61";"Talpa_europaea";0;0;0;0;0;0;1;0;0;0;"EULIPOTYPHLA"
"62";"Talpa_levantis";0;0;0;0;0.25;0.25;0.25;0;0.25;0;"EULIPOTYPHLA"
"63";"Talpa_occidentalis";0;0;0;0;0.2;0;0.2;0.2;0.2;0.2;"EULIPOTYPHLA"
"64";"Talpa_ognevi";0;0;0;0;0;1;0;0;0;0;"EULIPOTYPHLA"
"65";"Talpa_romana";0;0;0;0;0.25;0;0.25;0.25;0.25;0;"EULIPOTYPHLA"
"66";"Urotrichus_talpoides";0;0;0;0;0;0.2;0.2;0.2;0.2;0.2;"EULIPOTYPHLA"
"67";"Acomys_cahirinus";0;0;0;0.5;0.5;0;0;0;0;0;"RODENTIA"
"68";"Acomys_dimidiatus";0;0;0;0.5;0.5;0;0;0;0;0;"RODENTIA"
"69";"Acomys_russatus";0;0;0;1;0;0;0;0;0;0;"RODENTIA"
"70";"Allactaga_bullata";0;0;0;0;0;0;0.5;0.5;0;0;"RODENTIA"
"71";"Allactaga_elater";0;0;0.333;0;0.333;0;0;0.333;0;0;"RODENTIA"
"72";"Allactaga_hotsoni";0;0;0.5;0;0.5;0;0;0;0;0;"RODENTIA"
"73";"Allactaga_major";0;0;0;0;0;0;0.5;0.5;0;0;"RODENTIA"
"74";"Allactaga_severtzovi";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"75";"Allactaga_sibirica";0;0;0;0;0;0;0.5;0.5;0;0;"RODENTIA"
"76";"Allactaga_vinogradovi";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"77";"Allocricetulus_curtatus";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"78";"Allocricetulus_eversmanni";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"79";"Alticola_argentatus";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"80";"Alticola_lemminus";0;0;0;0;0;0;0;0;0.5;0.5;"RODENTIA"
"81";"Alticola_stoliczkanus";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"82";"Apodemus_agrarius";0;0;0;0;0;0.25;0.25;0.25;0.25;0;"RODENTIA"
"83";"Apodemus_argenteus";0;0;0;0;0;0.2;0.2;0.2;0.2;0.2;"RODENTIA"
"84";"Apodemus_draco";0;0;0;0;0;0;0.333;0.333;0.333;0;"RODENTIA"
"85";"Apodemus_flavicollis";0;0;0;0;0.333;0;0.333;0;0.333;0;"RODENTIA"
"86";"Apodemus_mystacinus";0;0;0;0;0.2;0;0.2;0.2;0.2;0.2;"RODENTIA"
"87";"Apodemus_peninsulae";0;0;0;0;0;0;0.333;0.333;0.333;0;"RODENTIA"
"88";"Apodemus_ponticus";0;0;0;0;0;0.5;0.5;0;0;0;"RODENTIA"
"89";"Apodemus_speciosus";0;0;0;0;0;0.5;0.5;0;0;0;"RODENTIA"
"90";"Apodemus_sylvaticus";0;0;0;0;0.25;0;0.25;0.25;0.25;0;"RODENTIA"
"91";"Apodemus_uralensis";0;0;0;0;0;0;0.25;0.25;0.25;0.25;"RODENTIA"
"92";"Apodemus_witherbyi";0;0;0;0;0.2;0;0.2;0.2;0.2;0.2;"RODENTIA"
"93";"Arvicanthis_niloticus";0;0.5;0.5;0;0;0;0;0;0;0;"RODENTIA"
"94";"Arvicola_amphibius";0;0;0;0;0.25;0;0.25;0.25;0.25;0;"RODENTIA"
"95";"Arvicola_sapidus";0;0;0;0;0.25;0;0.25;0.25;0.25;0;"RODENTIA"
"96";"Atherurus_macrourus";0.25;0.25;0;0;0;0.25;0.25;0;0;0;"RODENTIA"
"97";"Bandicota_indica";0;0.5;0.5;0;0;0;0;0;0;0;"RODENTIA"
"98";"Belomys_pearsonii";0.333;0.333;0;0;0;0.333;0;0;0;0;"RODENTIA"
"99";"Berylmys_bowersi";0.333;0.333;0;0;0;0.333;0;0;0;0;"RODENTIA"
"100";"Brachiones_przewalskii";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"101";"Callosciurus_erythraeus";0.25;0.25;0;0;0;0.25;0.25;0;0;0;"RODENTIA"
"102";"Calomyscus_bailwardi";0;0;0;0;0.25;0;0.25;0.25;0.25;0;"RODENTIA"
"103";"Cardiocranius_paradoxus";0;0;0;0;0;0;0.5;0.5;0;0;"RODENTIA"
"104";"Castor_fiber";0;0;0;0;0.333;0;0.333;0;0.333;0;"RODENTIA"
"105";"Chionomys_nivalis";0;0;0;0;0.25;0;0.25;0;0.25;0.25;"RODENTIA"
