"Taxon";"I";"II";"II.III";"III";"IV";"V";"VI";"VII";"VIII";"IX";"Ordre"
"276";"Arvicola_scherman";0;0;0;0;0;0;0.333333333;0;0.333333333;0.333333333;"RODENTIA"
"277";"Arvicola_sp.";0;0;0;0;0.2;0;0.2;0.2;0.2;0.2;"RODENTIA"
"278";"Atlantoxerus_getulus";0;0;0;0;1;0;0;0;0;0;"RODENTIA"
"279";"Blanfordimys_afghanus";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"280";"Calomyscus_elburzensis";0;0;0;0;0.5;0;0;0.5;0;0;"RODENTIA"
"281";"Calomyscus_mystax";0;0;0;0;0.333333333;0;0;0.333333333;0.333333333;0;"RODENTIA"
"282";"Castor_canadensis";0;0.166666667;0.166666667;0;0.166666667;0;0.166666667;0.166666667;0.166666667;0;"RODENTIA"
"283";"Chionomys_gud";0;0;0;0;0;0.25;0.25;0;0.25;0.25;"RODENTIA"
"284";"Cricetulus.allocricetus_bursae";0;0;0;0;0.333333333;0;0.333333333;0.333333333;0;0;"RODENTIA"
"285";"Cricetulus_sp.";0;0;0;0;0.333;0;0.333;0.333;0;0;"RODENTIA"
"286";"Cricetus_major";0;0;0;0;0;0;0.5;0.5;0;0;"RODENTIA"
"287";"Ctenodactylus_gundi";0;0;0;0;1;0;0;0;0;0;"RODENTIA"
"288";"Ctenodactylus_vali";0;0;0;1;0;0;0;0;0;0;"RODENTIA"
"289";"Dicrostonyx_antiquitatis";0;0;0;0;0;0;0;0;0.5;0.5;"RODENTIA"
"290";"Dryomys_laniger";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"291";"Eliomys_munbyanus";0;0;0;0.25;0.25;0;0;0.25;0.25;0;"RODENTIA"
"292";"Eliomys_sp.";0;0;0.166666667;0.166666667;0.166666667;0;0.166666667;0.166666667;0.166666667;0;"RODENTIA"
"293";"Ellobius_lutescens";0;0;0;0;0.333333333;0;0.333333333;0.333333333;0;0;"RODENTIA"
"294";"Ellobius_sp.";0;0;0;0;0.333333333;0;0.333333333;0.333333333;0;0;"RODENTIA"
"295";"Eolagurus_luteus";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"296";"Gerbillus_amoenus";0;0;0;0.5;0.5;0;0;0;0;0;"RODENTIA"
"297";"Gerbillus_aquilus";0;0;0;0.5;0.5;0;0;0;0;0;"RODENTIA"
"298";"Gerbillus_cheesmani";0;0;0;0.5;0.5;0;0;0;0;0;"RODENTIA"
"299";"Gerbillus_floweri";0;0;0;1;0;0;0;0;0;0;"RODENTIA"
"300";"Gerbillus_hoogstraali";0;0;0;1;0;0;0;0;0;0;"RODENTIA"
"301";"Gerbillus_latastei";0;0;0;0.5;0.5;0;0;0;0;0;"RODENTIA"
"302";"Gerbillus_maghrebi";0;0;0;0;1;0;0;0;0;0;"RODENTIA"
"303";"Gerbillus_mesopotamiae";0;0;0;0.5;0.5;0;0;0;0;0;"RODENTIA"
"304";"Gerbillus_occiduus";0;0;0;0.5;0.5;0;0;0;0;0;"RODENTIA"
"305";"Gerbillus_sp.";0;0.25;0.25;0.25;0.25;0;0;0;0;0;"RODENTIA"
"306";"Gerbillus_tarabuli";0;0;0;1;0;0;0;0;0;0;"RODENTIA"
"307";"Glirulus_sp.";0;0;0;0;0;0.5;0.5;0;0;0;"RODENTIA"
"308";"glis_sp.";0;0;0;0;0.333;0;0.333;0.333;0;0;"RODENTIA"
"309";"Hystrix_sp.";0.125;0.125;0.125;0.125;0.125;0.125;0;0.125;0;0;"RODENTIA"
"310";"Jaculus_thaleri";0;0;0;0;1;0;0;0;0;0;"RODENTIA"
"311";"Lemmus_lemmus";0;0;0;0;0;0;0;0;0.5;0.5;"RODENTIA"
"312";"Marmota_bobak";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"313";"Marmota_primigenia";0;0;0;0;0;0;0.25;0.25;0.25;0.25;"RODENTIA"
"314";"Marmota_sp.";0;0;0;0;0;0;0.25;0.25;0.25;0.25;"RODENTIA"
"315";"Mastomys_erythroleucus";0.333333333;0.333333333;0.333333333;0;0;0;0;0;0;0;"RODENTIA"
"316";"Meriones_grandis";0;0;0;0;1;0;0;0;0;0;"RODENTIA"
"317";"Meriones_libycus";0;0;0;0.333333333;0.333333333;0;0;0.333333333;0;0;"RODENTIA"
"318";"Meriones_sp.";0;0;0.166666667;0.166666667;0.166666667;0;0.166666667;0.166666667;0.166666667;0;"RODENTIA"
"319";"Meriones_tristrami";0;0;0;0;0.333;0;0.333;0.333;0;0;"RODENTIA"
"320";"Meriones_vinogradovi";0;0;0;0;0.5;0;0;0.5;0;0;"RODENTIA"
"321";"Meriones_zarudnyi";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"322";"Mesocricetus_brandti";0;0;0;0;0.333333333;0;0.333333333;0.333333333;0;0;"RODENTIA"
"323";"Mesocricetus_newtoni";0;0;0;0;0;0;0.5;0.5;0;0;"RODENTIA"
"324";"Mesocricetus_raddei";0;0;0;0;0;0;0.333333333;0.333333333;0.333333333;0;"RODENTIA"
"325";"Microtus_arvalis.agrestis";0;0;0;0;0;0;0.5;0;0.5;0;"RODENTIA"
"326";"Microtus_brachycercus";0;0;0;0;1;0;0;0;0;0;"RODENTIA"
"327";"Microtus_daghestanicus";0;0;0;0;0;0;0;0;0;1;"RODENTIA"
"328";"Microtus_duodecimcostatus.lusitanicus";0;0;0;0;0.25;0;0.25;0.25;0.25;0;"RODENTIA"
"329";"Microtus_felteni";0;0;0;0;0.333333333;0;0.333333333;0;0.333333333;0;"RODENTIA"
"330";"Microtus_gerbei";0;0;0;0;0;0;0.5;0;0.5;0;"RODENTIA"
"331";"Microtus_gregalis.agrestis";0;0;0;0;0;0;0.25;0.25;0.25;0.25;"RODENTIA"
"332";"Microtus_guentheri";0;0;0;0;0.333333333;0;0.333333333;0.333333333;0;0;"RODENTIA"
"333";"Microtus_levis";0;0;0;0;0.333;0;0.333;0.333;0;0;"RODENTIA"
"334";"Microtus_liechtensteini";0;0;0;0;0;0;0.5;0;0.5;0;"RODENTIA"
"335";"Microtus_multiplex";0;0;0;0;0;0;0.333;0;0.333;0.333;"RODENTIA"
"336";"Microtus_multiplex.subterraneus";0;0;0;0;0;0;0.333;0;0.333;0.333;"RODENTIA"
"337";"Microtus_nasarovi";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"338";"Microtus_obscurus";0;0;0;0;0;0;0.5;0;0.5;0;"RODENTIA"
"339";"Microtus_oeconomus.gregalis";0;0;0;0;0;0;0.25;0.25;0.25;0.25;"RODENTIA"
"340";"Microtus_paradoxus";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"341";"Microtus_pyrenaicus";0;0;0;0;0;0;0.5;0;0.5;0;"RODENTIA"
"342";"Microtus_qazvinensis";0;0;0;0;0;0;0;0;1;0;"RODENTIA"
"343";"Microtus_schelkovnikovi";0;0;0;0;0.5;0;0.5;0;0;0;"RODENTIA"
"344";"Microtus_sp.";0;0;0;0;0.166666;0.166666;0.166666;0.166666;0.166666;0.166666;"RODENTIA"
"345";"Microtus_subterraneus.liechtensteini";0;0;0;0;0;0;0.333;0;0.333;0.333;"RODENTIA"
"346";"Microtus_tatricus";0;0;0;0;0;0;0.333333333;0;0.333333333;0.333333333;"RODENTIA"
"347";"Microtus_Terricola_sp.";0;0;0;0;0.166666667;0.166666667;0.166666667;0.166666667;0.166666667;0.166666667;"RODENTIA"
"348";"Microtus_transcaspicus";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"349";"Mus_cypriacus";0;0;0;0;1;0;0;0;0;0;"RODENTIA"
"350";"Mus_sp.";0.111;0.111;0.111;0.111;0.111;0.111;0.111;0.111;0.111;0;"RODENTIA"
"351";"Mus_spicilegus";0;0;0;0;0;0;0.5;0.5;0;0;"RODENTIA"
"352";"Muscardinus_sp.";0;0;0;0;0.333333333;0;0.333333333;0.333333333;0;0;"RODENTIA"
"353";"Myodes_glareolus.rutilus";0;0;0;0;0;0;0.333;0;0.333;0.333;"RODENTIA"
"354";"Myodes_sp.";0;0;0;0;0.166666667;0.166666667;0.166666667;0.166666667;0.166666667;0.166666667;"RODENTIA"
"355";"Myomimus_personatus";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"356";"Myomimus_setzeri";0;0;0;0;0;0;0.333333333;0.333333333;0.333333333;0;"RODENTIA"
"357";"Nannospalax_leucodon";0;0;0;0;0.25;0;0.25;0.25;0.25;0;"RODENTIA"
"358";"Nannospalax_xanthodon";0;0;0;0;0.25;0;0.25;0.25;0.25;0;"RODENTIA"
"359";"Nannosphalax_sp.";0;0;0;0;0.25;0;0.25;0.25;0.25;0;"RODENTIA"
"360";"Paradipus_ctenodactylus";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"361";"Phodopus_sungorus";0;0;0;0;0;0;0.333333333;0.333333333;0.333333333;0;"RODENTIA"
"362";"Prometheomys_schaposchnikowi";0;0;0;0;0;0;0.333333333;0;0.333333333;0.333333333;"RODENTIA"
"363";"Psammomys_vexillaris";0;0;0;0;1;0;0;0;0;0;"RODENTIA"
"364";"Pygeretmus_sp.";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"365";"Rattus_sp.";0.111;0.111;0.111;0.111;0.111;0.111;0.111;0.111;0.111;0;"RODENTIA"
"366";"Sciurus_sp.";0;0;0;0;0.25;0.25;0.25;0;0.25;0;"RODENTIA"
"367";"Sekeetamys_calurus";0;0;0;0.5;0.5;0;0;0;0;0;"RODENTIA"
"368";"Sicista_caucasica";0;0;0;0;0;0;0.5;0;0.5;0;"RODENTIA"
"369";"Sicista_kluchorica";0;0;0;0;0;0;0.5;0;0.5;0;"RODENTIA"
"370";"Sicista_severtzovi";0;0;0;0;0;0;0.5;0.5;0;0;"RODENTIA"
"371";"Sicista_sp.";0;0;0;0;0;0;0.33333;0.33333;0.33333;0;"RODENTIA"
"372";"Sicista_strandi";0;0;0;0;0;0;0.5;0.5;0;0;"RODENTIA"
"373";"Sicista_trizona";0;0;0;0;0;0;1;0;0;0;"RODENTIA"
"374";"Spalax_antiquus";0;0;0;0;0;0;1;0;0;0;"RODENTIA"
"375";"Spalax_microphthalmus";0;0;0;0;0;0;0.5;0.5;0;0;"RODENTIA"
"376";"Spalax_sp.";0;0;0;0;0;0;0.5;0.5;0;0;"RODENTIA"
"377";"Spalax_uralensis";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"378";"Spalax_zemni";0;0;0;0;0;0;0.5;0.5;0;0;"RODENTIA"
"379";"Spermophilus_severskensis";0;0;0;0;0;0;0.5;0.5;0;0;"RODENTIA"
"380";"Spermophilus_sp.";0;0.11111;0.11111;0.11111;0.11111;0.11111;0.11111;0.11111;0.11111;0.11111;"RODENTIA"
"381";"Spermophilus_superciliosus";0;0;0;0;0;0;0;1;0;0;"RODENTIA"
"382";"Spermophilus_suslicus";0;0;0;0;0;0;0.5;0.5;0;0;"RODENTIA"
"383";"Spermophilus_xanthoprymnus";0;0;0;0;0;0;0.333333333;0.333333333;0.333333333;0;"RODENTIA"
"384";"Tamias_sibiricus";0;0;0;0;0;0;0.5;0;0.5;0;"RODENTIA"
