"","X.1","X","couche","min.14C","max.14C","site","level","pays","lat","long","alt","nb_mamm","First_predite","proba_value","Second_predite","proba_value.1","MAT.moy","MAT.min","MAT.max","Tp.moy","Tp.min","Tp.max","Tmax.moy","Tmax.min","Tmax.max","Tmin.moy","Tmin.min","Tmin.max","Mta.moy","Mta.min","Mta.max","It.moy","It.min","It.max","Itc.moy","Itc.min","Itc.max","P.moy","P.min","P.max","D.moy","D.min","D.max","MAT_se.fit","Tp_se.fit","Tmax_se.fit","Tmin_se.fit","Mta_se.fit","It_se.fit","Itc_se.fit","P_se.fit","D_se.fit","MAT_df","Tp_df","Tmax_df","Tmin_df","Mta_df","It_df","Itc_df","P_df","D_df","MAT_residual.scale","Tp_residual.scale","Tmax_residual.scale","Tmin_residual.scale","Mta_residual.scale","It_residual.scale","Itc_residual.scale","P_residual.scale","D_residual.scale"
"132",132,133,"Rutbah",NA,NA,NA,NA,NA,33.03,40.28,623.94,10,3,0.9999548,4,4.52e-05,24.63542086,17.61843472,31.65240701,2762.5502,2319.065431,3206.034969,35.2147606,29.78868903,40.64083217,13.80200838,-1.772966113,29.37698287,21.41275222,3.966180624,38.85932382,404.4657057,31.88289985,777.0485115,510.540016,323.998736,697.0812961,74.57767278,-611.2142262,760.3695718,10.21611247,6.91180502,13.52041993,1.67178713,105.6596257,1.292753958,3.710715878,4.156621269,88.76733211,44.44319893,163.3889603,0.787246627,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"133",133,134,"Kuwait",NA,NA,NA,NA,NA,29.33,47.95,75,11,3,0.999999928,4,7.17e-08,23.80269138,16.54025011,31.06513266,2972.221024,2513.223097,3431.21895,33.86085403,28.24497774,39.47673032,13.17044486,-2.949344368,29.29023408,20.69040917,2.63355412,38.74726422,463.8316686,78.21586541,849.4474718,559.8383372,366.7718178,752.9048567,-61.78448112,-771.5654743,647.996512,11.0029006,7.583008025,14.42279318,1.910529133,120.7485028,1.477367575,4.240630079,4.750213641,101.4438806,50.78997488,186.7219594,0.899670531,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"134",134,135,"Bandar.Abbas",NA,NA,NA,NA,NA,27.18,56.28,120,11,3,0.99998973,4,1.03e-05,22.76755354,15.68271088,29.85239619,2802.750568,2354.977158,3250.523978,32.60989073,27.13134731,38.08843416,12.04607497,-3.679514534,27.77166448,20.56381576,2.948530201,38.17910132,427.2093909,51.0235894,803.3951923,514.9109796,326.5657853,703.2561739,50.21308335,-642.210644,742.6368107,10.66979363,7.333532455,14.0060548,1.740220331,109.9847137,1.345671755,3.862610915,4.326769069,92.40094829,46.26244395,170.0771501,0.819471906,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"135",135,137,"Esfahan",NA,NA,NA,NA,NA,32.62,51.67,1620.54,17,4,0.999995606,6,4.38e-06,24.62361797,17.86890076,31.37833518,2096.49058,1669.581628,2523.399533,35.57920893,30.35594381,40.80247405,14.08728436,-0.905555307,29.08012404,21.49192457,4.697441156,38.28640798,273.951462,-84.70557938,632.6085034,347.5741112,168.0050529,527.1431696,318.1182997,-342.0412398,978.2778392,7.079987044,3.899182357,10.26079173,1.383304169,87.42704025,1.069676819,3.070396137,3.43935626,73.44967454,36.77409718,135.1946225,0.651399644,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"136",136,138,"Hamadan",NA,NA,NA,NA,NA,35.7,48.72,1938.88,25,4,0.999946591,6,5.34e-05,21.48969404,14.66895863,28.31042945,1686.349829,1255.26842,2117.431237,34.79919549,29.52488004,40.07351095,8.850664924,-6.28870943,23.99003928,25.94853057,8.989903851,42.90715729,89.04285593,-273.1195719,451.2052837,236.397692,55.0735895,417.7217945,346.0165778,-320.5951263,1012.628282,5.506338646,2.294445905,8.718231387,1.460212277,92.2877559,1.129148064,3.241102162,3.630575507,77.53328508,38.81864117,142.7110913,0.687615767,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"137",137,139,"Mosul",NA,NA,NA,NA,NA,36.31,43.15,214.95,15,4,0.999998975,6,9.57e-07,18.44296829,11.72100495,25.16493163,2152.995682,1728.156827,2577.834538,28.47522269,23.27728537,33.67316001,8.746935957,-6.173202898,23.66707481,19.72828673,3.015240373,36.44133309,316.7959176,-40.12198299,673.7138182,366.3178126,187.619491,545.0161342,354.5976916,-302.3607107,1011.556094,7.366011241,4.200630389,10.53139209,1.343808243,84.93083442,1.039135542,2.982730574,3.341156194,71.3525487,35.7241278,131.3345627,0.632800963,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"138",138,140,"Deir.Ezzor",NA,NA,NA,NA,NA,35.33,40.15,220.81,13,3,0.999710257,4,0.000289743,23.34322153,16.28629748,30.40014558,2757.728166,2311.719257,3203.737075,32.93105958,27.47410496,38.3880142,13.3943538,-2.269267275,29.05797488,19.53670578,1.990835207,37.08257635,450.0248731,75.32147351,824.7282726,512.0540798,324.4510807,699.6570789,86.52199174,-603.173163,776.2171465,9.891923045,6.568808782,13.21503731,1.712316167,108.2211258,1.324094117,3.800674546,4.257389995,90.91931336,45.52063281,167.3499893,0.806331801,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"139",139,141,"Beyrouth",NA,NA,NA,NA,NA,33.82,35.48,100,20,4,0.999992651,6,7.35e-06,16.68566817,9.829575257,23.54176108,2049.155456,1615.839397,2482.471515,27.41242502,22.11076843,32.7140816,6.886514165,-8.331340053,22.10436838,20.52591085,3.479373585,37.57244812,280.5146975,-83.52511687,644.5545119,334.1173403,151.8532854,516.3813952,439.5667341,-230.5005683,1109.634036,6.266939757,3.038397126,9.495482387,1.50007282,94.80700615,1.159971292,3.329577035,3.729682135,79.64977113,39.87830364,146.6067863,0.706386146,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"140",140,142,"Nicosia",NA,NA,NA,NA,NA,35.09,33.28,265.57,5,4,0.999999998,5,1.12e-09,18.85945296,11.20741211,26.51149381,2176.477994,1692.85675,2660.099239,28.44653367,22.52938913,34.36367822,10.81336244,-6.171186002,27.79791088,17.63317123,-1.392358504,36.65870097,337.160424,-69.14205289,743.4629008,384.8893705,181.4656405,588.3131006,970.9429494,223.0851771,1718.800722,5.81287342,2.20951792,9.41622892,2.251220079,142.2807166,1.74081593,4.996831201,5.597285141,119.5336397,59.84698652,220.0187461,1.060102319,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"141",141,143,"Adana",NA,NA,NA,NA,NA,36.98,35.3,19.85,18,4,0.999510234,6,0.000489766,13.15765694,6.264914849,20.05039903,1693.578473,1257.946127,2129.210819,25.15209461,19.82209807,30.48209115,2.142174578,-13.15702654,17.44137569,23.00992003,5.872260658,40.14757941,168.2263024,-197.7594834,534.2120882,245.431767,62.19342134,428.6701127,529.040109,-144.6090319,1202.68925,4.170809603,0.925008828,7.416610378,1.540510214,97.36271421,1.191240584,3.419332288,3.830223003,81.79688631,40.95330122,150.5588586,0.725428165,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"142",142,144,"Antalya",NA,NA,NA,NA,NA,36.88,30.7,120,17,4,0.999173502,6,0.000826498,13.29506927,6.415058276,20.17508026,1684.028596,1249.200876,2118.856316,25.33891285,20.01876097,30.65906473,2.275693961,-12.99524908,17.546637,23.06321889,5.957213273,40.1692245,156.6410459,-208.6687534,521.9508452,235.818176,52.91827697,418.7180751,530.5800011,-141.82489,1202.984892,4.104921597,0.865115912,7.344727283,1.526560262,96.48105493,1.180453412,3.388368833,3.795538764,81.05618198,40.58245229,149.1954865,0.718859116,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"143",143,145,"Bursa",NA,NA,NA,NA,NA,40.18,29.7,428.37,24,4,0.943266245,6,0.056733755,13.18079233,6.331628099,20.02995656,1473.606317,1040.728162,1906.484472,24.71159414,19.41529534,30.00789294,2.694970123,-12.50750513,17.89744538,22.01662402,4.987313759,39.04593428,128.9472828,-234.7246377,492.6192033,170.5086478,-11.57121341,352.588509,589.5839288,-79.80621231,1258.97407,2.828537857,-0.39674205,6.053817765,1.492329497,94.31761568,1.15398356,3.312389874,3.710429645,79.23862178,39.67245322,145.8500072,0.702739806,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"144",144,146,"Zonguldak",NA,NA,NA,NA,NA,41.45,31.8,310,21,4,0.968358747,6,0.031641253,13.03859778,6.198516346,19.87867922,1507.021703,1074.717595,1939.325811,24.29587511,19.00659983,29.5851504,2.837836166,-12.34447882,18.02015115,21.45803895,4.451311551,38.46476634,147.7087958,-215.480853,510.8984446,180.5187228,-1.319679077,362.3571247,609.2438815,-59.25856959,1277.746333,2.927019117,-0.29398369,6.148021924,1.482129478,93.67295814,1.146096124,3.289749807,3.685068991,78.69702863,39.40129342,144.8531276,0.697936604,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"145",145,147,"Ankara",NA,NA,NA,NA,NA,39.95,32.88,907.56,18,4,0.999566312,6,0.000433688,17.93282242,11.05654409,24.80910074,1637.521937,1202.930128,2072.113747,28.56072124,23.24345575,33.87798674,8.458431697,-6.804226279,23.72108967,20.10228955,3.005564588,37.1990145,216.1994316,-148.9121733,581.3110364,234.2725877,51.47191873,417.0732566,647.0256269,-25.01445908,1319.065713,3.595028335,0.356980367,6.833076303,1.522450929,96.22133847,1.17727576,3.379247714,3.785321588,80.83798759,40.47320876,148.7938685,0.716924025,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"146",146,148,"Trabzon",NA,NA,NA,NA,NA,41,39.72,300,22,4,0.847726571,6,0.152273428,12.80963719,6.037163976,19.58211041,1522.874599,1094.843439,1950.90576,24.66285316,19.42585773,29.89984859,1.988964259,-13.04328683,17.02121535,22.6738889,5.83525812,39.51251968,125.5387726,-234.0610644,485.1386095,180.9179707,0.876882282,360.9590592,802.9246521,141.0297626,1464.819541,2.330304957,-0.858861056,5.519470971,1.404328743,88.75582699,1.085934631,3.117062496,3.491630373,74.566022,37.3330196,137.2494195,0.661300142,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"147",147,149,"Sukhumi",NA,NA,NA,NA,NA,43,41.02,300,22,6,0.93446799,4,0.065513568,10.51647142,3.692959198,17.33998365,1441.857863,1010.600956,1873.114771,23.84540824,18.56894554,29.12187095,-1.692959543,-16.83849734,13.45257826,25.53836779,8.572836977,42.50389859,21.74461066,-340.5652584,384.0544797,132.793876,-48.60404605,314.191798,1020.723896,353.840805,1687.606987,1.212432001,-2.000768346,4.425632348,1.463374484,92.48761247,1.131593325,3.24812103,3.638437811,77.70118965,38.90270606,143.0201436,0.689104854,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"148",148,150,"Van",NA,NA,NA,NA,NA,38.5,43.38,1750,22,4,0.998559875,6,0.001440125,20.89067911,14.04768249,27.73367573,1585.733814,1153.245462,2018.222166,32.56053211,27.26900258,37.85206164,10.21293114,-4.975854405,25.40171669,22.34760097,5.333625461,39.36157647,152.9063557,-210.4380812,516.2507926,217.5723713,35.65647155,399.4882711,585.6682141,-83.11914669,1254.455575,3.596441688,0.374066119,6.818817258,1.485409393,93.88025407,1.148632406,3.297029941,3.693223957,78.87118319,39.4884875,145.1736839,0.69948112,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"149",149,151,"Pahlavi..Bandar.Anzali.",NA,NA,NA,NA,NA,37.47,49.47,50,16,4,0.999882459,6,0.000117541,14.8858196,8.091673337,21.67996586,1843.66944,1414.268508,2273.070371,26.0607264,20.80697171,31.31448109,4.416815849,-10.66354096,19.49717265,21.64391055,4.751393337,38.53642776,225.5911999,-135.1594166,586.3418165,288.0246801,107.4074301,468.6419301,528.3192647,-135.693799,1192.332328,4.928155382,1.728783505,8.12752726,1.429645354,90.35587741,1.105511376,3.173255507,3.554575927,75.91026495,38.00604261,139.7236908,0.673221765,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"150",150,153,"Urgench",NA,NA,NA,NA,NA,41.55,60,85.74,17,7,1,4,4.88e-22,10.93776083,4.124932639,17.75058903,1651.543569,1220.961909,2082.125228,26.85250076,21.58429977,32.12070175,-5.655637555,-20.77746097,9.466185856,32.50813831,15.56917158,49.44710504,-42.29416324,-404.0367393,319.4484128,209.0496026,27.93570759,390.1634977,86.2310872,-579.6078198,752.0699942,7.288385639,4.080216417,10.49655486,1.451176974,91.7167103,1.122161275,3.221047312,3.608110727,77.05353519,38.57844447,141.828043,0.683361032,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"151",151,154,"Krasnovodsk",NA,NA,NA,NA,NA,40,52.98,75,18,7,1,4,1.03e-12,12.74512927,5.998910349,19.49134819,1809.949205,1383.577358,2236.321052,27.42104508,22.20435149,32.63773868,-2.561750629,-17.53572741,12.41222616,29.98279571,13.20944188,46.75614954,40.64954488,-317.5562607,398.8553504,253.5161263,74.1729885,432.8592641,141.3705721,-517.9584033,800.6995475,7.511752504,4.33494967,10.68855534,1.373147418,86.78511733,1.061822841,3.047852109,3.414103185,72.91037882,36.50408763,134.2019717,0.646616818,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"152",152,155,"Fort.Schevchenko",NA,NA,NA,NA,NA,44.55,50.28,83.39,16,7,1,4,1.74e-17,12.13449468,5.507872673,18.76111669,1611.465892,1192.652762,2030.279023,25.78344645,20.65923435,30.90765854,-2.294612886,-17.00313114,12.41390537,28.07805933,11.60206338,44.55405529,51.54373901,-300.3117971,403.3992751,208.3470915,32.18334725,384.5108357,294.1888197,-353.4515773,941.8292167,5.938713638,2.818229139,9.059198138,1.222814102,77.28381085,0.945573598,2.714170737,3.040324343,64.92809019,32.5075899,119.5094287,0.575824673,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"153",153,156,"Gur.ev..Atyrau.",NA,NA,NA,NA,NA,47.02,51.85,50,24,7,1,4,5.58e-21,8.392103467,1.725428736,15.0587782,1345.193441,923.8489145,1766.537968,24.02516797,18.86998404,29.1803519,-7.623327238,-22.42074692,7.174092448,31.64849521,15.07291481,48.22407561,-91.63571047,-445.6179367,262.3465158,128.7532777,-48.47523787,305.9817933,306.7486265,-344.8062477,958.3035006,5.120752398,1.981407022,8.260097774,1.27483093,80.57135772,0.985796996,2.829627822,3.169655553,67.69004173,33.890418,124.5931952,0.600319462,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"154",154,157,"Aktobe",NA,NA,NA,NA,NA,50.28,57.17,213.94,24,7,1,6,9.97e-12,6.085481551,-0.582104016,12.75306712,1083.92519,662.5230973,1505.327283,22.6076461,17.45175784,27.76353436,-10.53022969,-25.32967108,4.269211692,33.13787579,16.56003075,49.71572083,-189.1372465,-543.1678357,164.8933426,43.45201294,-133.8007165,220.7047424,358.9908191,-292.6530738,1010.634712,3.045963372,-0.093810917,6.185737662,1.275992748,80.64478647,0.986695403,2.832206605,3.17254422,67.75173108,33.92130406,124.7067433,0.600866563,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
