couche;min.14C;max.14C;site;level;pays;lat;long;alt;nb_mamm;Modern_climatic_zone;First_predite;proba_value;Second_predite;proba_value.1;MAT.moy;MAT.min;MAT.max;Tp.moy;Tp.min;Tp.max;Tmax.moy;Tmax.min;Tmax.max;Tmin.moy;Tmin.min;Tmin.max;Mta.moy;Mta.min;Mta.max;It.moy;It.min;It.max;Itc.moy;Itc.min;Itc.max;P.moy;P.min;P.max;D.moy;D.min;D.max;MAT_se.fit;Tp_se.fit;Tmax_se.fit;Tmin_se.fit;Mta_se.fit;It_se.fit;Itc_se.fit;P_se.fit;D_se.fit;MAT_df;Tp_df;Tmax_df;Tmin_df;Mta_df;It_df;Itc_df;P_df;D_df;MAT_residual.scale;Tp_residual.scale;Tmax_residual.scale;Tmin_residual.scale;Mta_residual.scale;It_residual.scale;Itc_residual.scale;P_residual.scale;D_residual.scale
Catania;NA;NA;NA;NA;NA;37.5;15.1;50;9;4;4;0.999968388;6;3.16E-05;17.90079619;10.75043823;25.05115415;2044.522958;1592.608877;2496.43704;26.45824615;20.92904127;31.98745103;9.764955802;-6.106052145;25.63596375;16.69329035;-1.084888136;34.47146883;374.8574384;-4.807046772;754.5219235;346.7211818;156.6343127;536.8080509;713.5232081;14.6964663;1412.34995;4.469325086;1.102212679;7.836437493;1.80442163;114.0423386;1.395317121;4.005112777;4.486394944;95.80986195;47.96918701;176.3517429;0.849704377;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Perugia;NA;NA;NA;NA;NA;43.12;12.35;356.9;15;6;4;0.97634101;6;0.02365899;12.61115657;5.633930925;19.58838222;1670.429259;1229.457417;2111.401101;23.98182892;18.58650322;29.37715463;1.964589449;-13.52213224;17.45131113;22.01723947;4.669525758;39.36495319;169.8113493;-200.6602826;540.2829813;228.6821106;43.19783333;414.1663878;596.2277169;-85.67826486;1278.133699;3.073387328;-0.212196858;6.358971514;1.630674782;103.0612594;1.260962739;3.619462488;4.054402238;86.58437868;43.3502582;159.3709225;0.767886771;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Geilo;NA;NA;NA;NA;NA;60.53;8.22;1000;11;8;8;0.999907845;6;9.22E-05;-1.796456144;-9.024387353;5.431475065;875.1607859;418.3439506;1331.977621;19.28224963;13.69305917;24.8714401;-22.22869394;-38.27188427;-6.185503616;41.51094357;23.53989208;59.48199507;-476.2018874;-859.9853002;-92.41847458;-48.52488955;-240.6739849;143.6242058;386.797534;-319.6106828;1093.205751;0.597691095;-2.80595065;4.001332841;1.878323825;118.7130758;1.452463963;4.169146848;4.670140487;99.73386672;49.93382108;183.5744344;0.884505012;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Tromse;NA;NA;NA;NA;NA;69.65;18.95;26.06;9;8;8;0.999946516;6;5.35E-05;-1.892058664;-8.962619793;5.178502464;873.0601985;426.1894044;1319.930992;18.59040173;13.12290188;24.05790158;-21.67482244;-37.36871252;-5.980932358;40.26522417;22.68544726;57.84500107;-467.6317013;-843.0591925;-92.20421006;-64.70559995;-252.6711305;123.2599306;428.2046513;-262.8232977;1119.2326;0.695334318;-2.634201662;4.024870298;1.725988785;109.0852572;1.334666833;3.83102243;4.291384692;91.64529205;45.88410905;168.6862568;0.812770254;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Trondhein;NA;NA;NA;NA;NA;63.43;10.42;46.84;10;6;8;0.960030963;6;0.039964976;0.978927405;-6.157948767;8.115803577;1014.796486;563.7344746;1465.858497;20.32757853;14.80879881;25.84635826;-17.72464217;-33.5657258;-1.88355854;38.05222071;20.30756245;55.79687896;-352.1585377;-731.1071767;26.79010127;5.244780839;-184.4836851;194.9732468;457.4138743;-240.0952503;1154.922999;0.688523437;-2.672240379;4.049287254;1.791350494;113.2162219;1.385209516;3.976099949;4.453895732;95.1158203;47.62170072;175.07426;0.843549163;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Varde;NA;NA;NA;NA;NA;70.37;31.1;120;7;8;8;0.999999936;6;6.40E-08;-4.431213635;-11.56946576;2.707038495;758.7172076;307.5682339;1209.866181;17.39241234;11.87256862;22.91225607;-25.70536784;-41.54950556;-9.861230123;43.09778019;25.34970084;60.84585953;-578.0988729;-957.1205715;-199.0771744;-122.0469076;-311.8119523;67.71813718;431.9902212;-265.6533801;1129.633822;0.212608759;-3.148802997;3.574020515;1.792687773;113.3007401;1.386243603;3.979068188;4.457220656;95.18682619;47.65725129;175.2049565;0.844178889;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Cambridge;NA;NA;NA;NA;NA;52.2;0.13;50;12;6;6;0.948421538;4;0.051578431;9.842681547;2.909915483;16.77544761;1477.05338;1038.891455;1915.215305;23.4688663;18.10792016;28.82981245;-3.359642688;-18.74768143;12.02839605;26.82850899;9.591336649;44.06568133;38.03365483;-330.0772947;406.1446043;171.7741359;-12.52821686;356.0764887;613.5577304;-64.00307796;1291.118539;1.849163463;-1.415484651;5.113811576;1.58372844;100.0941754;1.224660229;3.515259908;3.937677951;84.09165614;42.10222515;154.7827105;0.745779681;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Stirling;NA;NA;NA;NA;NA;56.12;-3.93;150;7;6;6;0.976251739;4;0.023703922;6.965407346;0.045562629;13.88525206;1338.883911;901.5386358;1776.229186;22.55250513;17.20155076;27.9034595;-7.937932724;-23.29729111;7.421425659;30.49043786;13.2853923;47.69548342;-90.71555253;-458.1404138;276.7093087;121.1751616;-62.78368697;305.1340101;636.0127436;-40.28522131;1312.310708;1.509394405;-1.74916903;4.76795784;1.569878699;99.21884953;1.213950548;3.484518879;3.903242868;83.35627269;41.73404023;153.4291321;0.739257821;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Strathy;NA;NA;NA;NA;NA;58.52;-4.02;120;7;6;6;0.976251739;4;0.023703922;6.965407346;0.045562629;13.88525206;1338.883911;901.5386358;1776.229186;22.55250513;17.20155076;27.9034595;-7.937932724;-23.29729111;7.421425659;30.49043786;13.2853923;47.69548342;-90.71555253;-458.1404138;276.7093087;121.1751616;-62.78368697;305.1340101;636.0127436;-40.28522131;1312.310708;1.509394405;-1.74916903;4.76795784;1.569878699;99.21884953;1.213950548;3.484518879;3.903242868;83.35627269;41.73404023;153.4291321;0.739257821;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
York;NA;NA;NA;NA;NA;53.95;-1.08;25;8;6;6;0.99705029;4;0.002864517;6.416710321;-0.588267648;13.42168829;1291.333833;848.6079997;1734.059666;22.39980104;16.98301511;27.81658696;-8.969615976;-24.517937;6.57870505;31.36941701;13.95270175;48.78613227;-113.2149762;-485.1601807;258.7302284;109.4120167;-76.81003505;295.6340685;598.6626079;-85.95569481;1283.280911;1.123577904;-2.175074886;4.422230693;1.659453534;104.8801227;1.283216677;3.683340104;4.125955831;88.11245188;44.11531962;162.1835596;0.781438722;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
