couche;min.14C;max.14C;site;level;pays;lat;long;alt;nb_mamm;Modern_climatic_zone;First_predite;proba_value;Second_predite;proba_value.1;MAT.moy;MAT.min;MAT.max;Tp.moy;Tp.min;Tp.max;Tmax.moy;Tmax.min;Tmax.max;Tmin.moy;Tmin.min;Tmin.max;Mta.moy;Mta.min;Mta.max;It.moy;It.min;It.max;Itc.moy;Itc.min;Itc.max;P.moy;P.min;P.max;D.moy;D.min;D.max;MAT_se.fit;Tp_se.fit;Tmax_se.fit;Tmin_se.fit;Mta_se.fit;It_se.fit;Itc_se.fit;P_se.fit;D_se.fit;MAT_df;Tp_df;Tmax_df;Tmin_df;Mta_df;It_df;Itc_df;P_df;D_df;MAT_residual.scale;Tp_residual.scale;Tmax_residual.scale;Tmin_residual.scale;Mta_residual.scale;It_residual.scale;Itc_residual.scale;P_residual.scale;D_residual.scale
Kuopio;NA;NA;NA;NA;NA;62.9;27.68;115.44;15;8;8;0.775492147;6;0.224450325;2.157567535;-5.20489929;9.52003436;1129.944724;664.6250222;1595.264426;21.91826453;16.22504082;27.61148824;-16.85304842;-33.19485538;-0.51124146;38.77131295;20.46576097;57.07686493;-326.1111414;-717.0380281;64.81574539;45.68534996;-150.0402732;241.4109731;426.0379536;-293.5188478;1145.594755;1.048550936;-2.418443798;4.51554567;2.001768456;126.5149743;1.547920814;4.443145817;4.977065076;106.2884396;53.21550341;195.6390625;0.942635241;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Oulu;NA;NA;NA;NA;NA;65.02;25.48;12.59;14;8;8;0.999980335;6;1.97E-05;-2.338854203;-9.911769781;5.234061375;895.599318;416.9789177;1374.219718;20.3027715;14.44681268;26.15873032;-24.48220529;-41.29112646;-7.673284115;44.78497679;25.95617891;63.61377466;-528.3558337;-930.4569746;-126.2546928;-42.62795675;-243.9482012;158.6922877;241.7784158;-498.3461973;981.9030289;0.622440642;-2.943654669;4.188535953;2.1849569;138.0927775;1.689576161;4.849752771;5.432532745;116.0152458;58.08542994;213.5426394;1.028898907;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Gdynia;NA;NA;NA;NA;NA;54.52;18.55;50;15;6;6;0.999144126;4;0.000851496;6.679518943;-0.308552975;13.66759086;1248.269577;806.6122334;1689.926921;21.82442559;16.42071272;27.22813847;-7.787437927;-23.29823411;7.723358252;29.61186352;12.23718235;46.98654469;-81.30545199;-452.3529913;289.7420873;94.19690577;-91.57571139;279.9695229;617.9613214;-65.00470021;1300.927343;0.868415524;-2.422276184;4.159107233;1.641968626;103.7750484;1.269696005;3.644530421;4.082482507;87.18405097;43.65049652;160.4747051;0.773205057;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Sandomiez;NA;NA;NA;NA;NA;50.12;21.13;227.68;22;6;6;0.997690981;4;0.00230891;7.705697974;0.676222192;14.73517375;1271.010856;826.7367219;1715.28499;21.84047403;16.40474452;27.27620354;-5.692019515;-21.29471614;9.910677106;27.53249355;10.05486854;45.01011855;-24.51143136;-397.7574028;348.7345401;106.2600358;-80.61327181;293.1333435;581.96335;-105.0492002;1268.9759;1.086655115;-2.223533724;4.396843954;1.684541591;106.4657281;1.302616685;3.739025812;4.188333121;89.44455919;44.78226667;164.6354935;0.793252719;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Warszawa;NA;NA;NA;NA;NA;52.22;21.05;100;18;6;6;0.998210462;4;0.001788222;7.093727161;0.059530514;14.12792381;1263.042205;818.469704;1707.614705;22.03367613;16.59429608;27.47305617;-7.12168654;-22.73486164;8.491488562;29.15536267;11.66600001;46.64472532;-62.33987588;-435.8365124;311.1567607;104.9268846;-82.07192372;291.9256928;593.83136;-93.642575;1281.305295;0.971785743;-2.340626157;4.284197644;1.689343346;106.7692066;1.30632977;3.749683835;4.200271887;89.69951925;44.90991769;165.1047839;0.795513871;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Wroclaw;NA;NA;NA;NA;NA;51.13;16.98;115.83;20;6;6;0.998693263;4;0.001306099;7.50114184;0.57167216;14.43061152;1296.874466;858.9208777;1734.828054;21.87903943;16.5206423;27.23743656;-6.368046202;-21.74876825;9.012675848;28.24708563;11.0181092;45.47606206;-43.40586708;-411.3417876;324.5300534;104.257777;-79.95694391;288.4724979;593.7754536;-83.46318882;1271.014096;1.175357827;-2.087738015;4.438453669;1.580204296;99.87144382;1.221935091;3.507437681;3.928915751;83.9045337;42.00853844;154.4382849;0.744120157;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Walez;NA;NA;NA;NA;NA;53.28;16.47;108.7;16;6;6;0.998511901;4;0.00148361;6.745895285;-0.257044683;13.74883525;1253.576735;810.9797064;1696.173763;21.8896249;16.47441492;27.30483489;-7.664029435;-23.20782689;7.879768021;29.55365434;12.14200623;46.96530245;-78.33480566;-450.1717979;293.5021865;98.15106843;-88.01680463;284.3189415;608.2509628;-76.16815963;1292.670085;0.936666929;-2.361026163;4.23436002;1.6573533;104.7473845;1.281592614;3.678678401;4.120733946;88.00093516;44.05948647;161.9782972;0.780449719;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Claremorris;NA;NA;NA;NA;NA;53.72;-8.98;85;4;6;4;0.953446554;6;0.046553272;10.09274058;3.114942574;17.07053858;1614.820699;1173.812683;2055.828714;24.837569;19.44180071;30.23333729;-3.939707699;-19.42769979;11.54828439;28.7772767;11.42813992;46.12641348;8.135982424;-362.3660401;378.6380049;212.5651453;27.06565239;398.0646381;834.9409236;152.9790037;1516.902843;2.552691662;-0.733162047;5.838545371;1.63127227;103.0990216;1.261424763;3.620788679;4.055887793;86.61610367;43.36614197;159.4293169;0.768168129;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Dublin;NA;NA;NA;NA;NA;53.37;-6.35;47.24;5;6;4;0.972470104;6;0.027529663;13.10041287;6.127368874;20.07345687;1852.74797;1412.040415;2293.455525;25.85558992;20.46349779;31.24768205;0.480710509;-14.99672954;15.95815056;25.37487941;8.037562675;42.71219615;128.7231634;-241.5264344;498.9727612;271.9847537;86.61164249;457.3578649;851.5796374;170.0823413;1533.076934;3.152587251;-0.131027791;6.436202293;1.626304341;102.7850406;1.25758318;3.609761815;4.043535864;86.35232024;43.23407334;158.9437858;0.765828726;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Strommmen;NA;NA;NA;NA;NA;56.45;10.05;30;11;6;6;0.996945099;4;0.00297491;6.308417685;-0.816849831;13.4336852;1268.683832;818.3555064;1719.012157;22.3876827;16.87787968;27.89748573;-9.052193695;-24.86751063;6.763123245;31.4398764;13.72408114;49.15567166;-113.0891793;-491.4214304;265.2430717;110.663014;-78.75684466;300.0828726;550.1548808;-146.2196938;1246.529455;1.030214692;-2.325082594;4.385511978;1.780038493;112.5012853;1.37646221;3.950991715;4.425770319;94.51518394;47.32097972;173.968703;0.838222328;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Silven;NA;NA;NA;NA;NA;42.68;26.32;296.3;20;4;4;0.843894464;6;0.156105536;11.88117712;5.002710679;18.75964356;1541.535258;1106.805156;1976.26536;23.72578968;18.40683217;29.04474719;0.884769307;-14.38274543;16.15228404;22.84102037;5.738855036;39.94318571;144.5883306;-220.6394571;509.8161183;201.3277921;18.46895381;384.1866303;673.0101866;0.756249593;1345.264124;2.463908436;-0.775169917;5.702986789;1.524860919;96.37365369;1.179139349;3.384596952;3.791313628;80.96595147;40.53727653;149.0294043;0.718058893;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Sofiya..Sofía.;NA;NA;NA;NA;NA;42.7;23.33;555.67;20;6;6;0.963823573;4;0.036176341;8.410321018;1.571102634;15.2495394;1354.767588;922.5180265;1787.01715;22.2218036;16.93319569;27.51041151;-4.729281507;-19.90968086;10.45111784;26.95108511;9.946503546;43.95566667;-4.682299574;-367.8261227;358.4615236;125.516375;-56.29908337;307.3318333;609.2979032;-59.12019922;1277.716006;1.748522855;-1.472073541;4.969119251;1.481157321;93.61151627;1.145344377;3.287591998;3.682651884;78.64540975;39.37544936;144.7581157;0.697478814;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Bansdká.Stiavnica;NA;NA;NA;NA;NA;48.47;18.9;719.27;22;6;6;0.998339841;4;0.001659864;7.057132027;0.106320489;14.00794356;1229.794954;790.4925261;1669.097382;21.21391372;15.83901343;26.58881401;-6.351591548;-21.77968421;9.07650111;27.56550527;10.28346585;44.84754469;-45.52642895;-414.5955439;323.542686;84.25691137;-100.5251667;269.0389895;573.9201435;-105.4043053;1253.244592;1.131072973;-2.142072777;4.404218723;1.602912759;101.3066551;1.239495015;3.557841618;3.985376576;85.11029109;42.61222579;156.6576537;0.754813601;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Ko_ice;NA;NA;NA;NA;NA;48.7;21.27;216.92;22;6;6;0.998672444;4;0.001327528;7.764036919;0.750422172;14.77765167;1260.623129;817.3514371;1703.89482;21.85410779;16.43064325;27.27757234;-5.73566172;-21.30315303;9.831829585;27.58976951;10.15158034;45.02795869;-24.06127738;-396.4650712;348.3425164;102.5073851;-83.94426888;288.9590391;574.7449952;-110.7174066;1260.207397;1.099488735;-2.203231123;4.402208594;1.668331444;105.4412208;1.290081757;3.703045604;4.148029281;88.58384466;44.35133215;163.0512254;0.78561934;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Praha..Prague.;NA;NA;NA;NA;NA;50.07;14.43;300;18;7;6;0.995846904;4;0.004153064;8.576943557;1.611685347;15.54220177;1345.503392;905.2879112;1785.718873;22.21694205;16.83087049;27.60301362;-4.615156112;-20.07531475;10.84500253;26.83209817;9.514139494;44.15005684;5.177048833;-364.6591449;375.0132426;124.5007121;-60.6654199;309.6668441;552.933341;-127.803026;1233.669708;1.48814291;-1.791805795;4.768091616;1.618142625;102.269207;1.251271915;3.591645984;4.02324311;85.91895537;43.01710027;158.1461158;0.761985363;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Tríkkala;NA;NA;NA;NA;NA;39.55;21.77;107.66;18;4;4;0.93682524;6;0.06317476;12.54152293;5.591059212;19.49198665;1578.827602;1139.547157;2018.108048;23.42913611;18.05450478;28.80376744;2.699145337;-12.7281753;18.12646598;20.72999077;3.448816145;38.0111654;190.4017003;-178.6489464;559.4523471;209.9642434;25.19141173;394.737075;648.8781499;-30.41230555;1328.168605;2.620458196;-0.652523766;5.893440158;1.602544693;101.2833927;1.239210398;3.557024655;3.984461441;85.09074778;42.60244103;156.6216814;0.754640278;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Trípolis;NA;NA;NA;NA;NA;37.52;22.35;821.76;12;4;4;0.994903773;6;0.005096227;14.38605067;7.498911228;21.27319012;1721.363487;1286.085237;2156.641737;25.08542656;19.75976241;30.41109071;4.45627071;-10.83049472;19.74303614;20.62915585;3.50542652;37.75288518;239.9206878;-125.7676128;605.6089885;264.760315;81.67091144;447.8497186;700.7346002;27.63302327;1373.836177;3.152715655;-0.090446827;6.395878138;1.534383631;96.97550437;1.186503041;3.405733662;3.814990272;81.4715815;40.79043065;149.9600886;0.72254315;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Békéscsaba;NA;NA;NA;NA;NA;46.68;21.08;85;22;6;6;0.988031042;4;0.011968953;9.093176329;2.174725442;16.01162722;1365.99708;928.7398973;1803.254263;22.61813702;17.26826046;27.96801357;-3.9482421;-19.30450672;11.40802253;26.56637912;9.364799084;43.76795915;22.40183645;-344.9490163;389.7526892;136.1767728;-47.74502186;320.0985674;599.3103789;-76.8513627;1275.47212;1.591115759;-1.66679132;4.849022838;1.568378967;99.12406408;1.21279084;3.481190059;3.899514033;83.27664102;41.69417099;153.2825587;0.738551595;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Siófok;NA;NA;NA;NA;NA;46.9;18.05;106.61;21;6;6;0.99527258;4;0.004727378;8.411198228;1.501152988;15.32124347;1335.3525;898.6265675;1772.078433;22.13313205;16.78975538;27.47650871;-4.776047527;-20.11365489;10.56155984;26.90917957;9.728498791;44.08986036;-1.449623702;-368.3541595;365.4549121;119.5278895;-64.1704473;303.2262264;602.494682;-72.84554945;1277.834914;1.414854228;-1.839094621;4.668803078;1.559310532;98.55092447;1.205778431;3.461061668;3.876966875;82.7951319;41.4530935;152.3962723;0.734281258;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Akureyri;NA;NA;NA;NA;NA;65.68;-18.25;707.14;3;8;4;0.968007543;6;0.031753996;10.87647396;3.872473818;17.88047411;1708.699565;1266.035531;2151.363598;25.49422048;20.07819068;30.91025028;-3.315309582;-18.86146022;12.23084106;28.80953006;11.395246;46.22381413;22.10634683;-349.786938;393.9996317;230.9323576;44.73630048;417.1284147;959.0560367;274.5332997;1643.578774;2.750109551;-0.54808278;6.048301883;1.658446108;104.8164517;1.282437658;3.681104011;4.123451034;88.05896032;44.08853796;162.0851007;0.780964324;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Cluj;NA;NA;NA;NA;NA;46.77;23.6;344.76;25;6;6;0.99739133;4;0.00260867;10.82775763;3.650690643;18.00482461;1426.686918;973.0847836;1880.289053;22.69953996;17.14968162;28.24939831;-0.493742847;-16.42403442;15.43654872;23.19328281;5.34869677;41.03786885;119.4226615;-261.6599999;500.5053229;157.7752113;-33.02169707;348.5721197;639.6205355;-61.81656233;1341.057633;1.168133832;-2.211555887;4.547823552;1.830112996;115.6660742;1.415183654;4.062137597;4.550272262;97.17400336;48.65217259;178.8626401;0.861802473;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Gala_i;NA;NA;NA;NA;NA;45.45;28.13;10;24;7;6;0.929664868;4;0.070335132;10.48208479;3.546055613;17.41811397;1428.592878;990.224719;1866.961038;23.2410725;17.87760306;28.60454194;-1.785487726;-17.18076931;13.60979386;25.02656023;7.781274685;42.27184577;81.17671354;-287.1074986;449.4609256;164.5654802;-19.8236201;348.9545805;607.8928522;-69.98687075;1285.772575;1.902211055;-1.363973665;5.168395774;1.587210958;100.3142761;1.227353179;3.52298974;3.946336654;84.27656833;42.19480526;155.1230678;0.747419603;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Cardiff;NA;NA;NA;NA;NA;51.5;-3.17;13.76;10;6;6;0.994414098;4;0.005584735;7.580414331;0.5659911;14.59483756;1320.113486;876.7906971;1763.436275;22.66574226;17.24165253;28.08983198;-6.910360756;-22.47964658;8.658925069;29.57610301;12.13590367;47.01630235;-55.66180959;-428.1085317;316.7849126;126.0429619;-60.43018503;312.5161089;582.4820855;-103.0593321;1268.023503;1.255518182;-2.047582393;4.558618756;1.669160642;105.4936275;1.290722957;3.7048861;4.150090944;88.62787281;44.37337576;163.1322655;0.786009811;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Aleksandrov.Gay;NA;NA;NA;NA;NA;50.15;48.55;18;22;7;7;1;4;2.61E-15;6.705468692;-0.010476608;13.42141399;1234.439831;809.9813254;1658.898336;23.1802684;17.98698469;28.37355211;-9.944585044;-24.85136619;4.9621961;33.12485344;16.42676995;49.82293693;-143.8675864;-500.4659453;212.7307726;90.23633233;-88.30200411;268.7746688;386.4827113;-269.8875289;1042.852951;3.705116098;0.54256915;6.867663045;1.336445818;84.46551736;1.03344235;2.966388859;3.322850746;70.96162403;35.52840328;130.61501;0.629333988;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Bryansk.Ordzhoni;NA;NA;NA;NA;NA;53.33;34.23;146.55;24;6;6;0.98127081;4;0.01872919;9.99700776;2.997320233;16.99669529;1407.818832;965.4273633;1850.210301;22.82940472;17.41670977;28.24209967;-2.238729176;-17.77530748;13.29784913;25.0681339;7.664572443;42.47169535;68.97663377;-302.6876627;440.6409303;153.6063356;-32.47507378;339.687745;614.9422325;-69.15901878;1299.043484;1.554074633;-1.74208688;4.850236146;1.653997287;104.5352791;1.278997488;3.671229361;4.112389778;87.82274006;43.97026941;161.6503036;0.778869368;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Deba.tsevo;NA;NA;NA;NA;NA;48.35;38.43;314.66;22;6;6;0.916583525;4;0.083415576;9.021140482;2.296299556;15.74598141;1333.071693;908.05097;1758.092416;22.72896748;17.52880499;27.92912997;-4.58934225;-19.51586822;10.33718372;27.31830973;10.59810874;44.03851072;2.78010396;-354.2905884;359.8507964;123.8907089;-54.88411101;302.6655289;555.0905927;-102.1490447;1212.33023;2.436799197;-0.729936712;5.603535106;1.347316755;85.15257799;1.041848592;2.990518102;3.349879526;71.5388411;35.81739893;131.6774605;0.634453126;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Kamennaya.Step.;NA;NA;NA;NA;NA;51.05;40.7;167.27;26;6;6;0.995044055;4;0.004955945;8.594270359;1.633641321;15.5548994;1277.480999;837.5580888;1717.403908;22.2226703;16.84017836;27.60516223;-4.645786802;-20.09567049;10.80409688;26.8684571;9.562008092;44.1749061;6.20547057;-363.3849268;375.795868;112.5148452;-72.52822373;297.5579142;549.3914093;-130.8925343;1229.675353;1.555662633;-1.72210619;4.833431456;1.61327471;101.961547;1.24750767;3.580841111;4.011139848;85.6604824;42.88769043;157.6703594;0.759693056;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Kandalaksha;NA;NA;NA;NA;NA;67.13;32.43;30.49;11;8;8;0.999999169;6;8.31E-07;-4.000271679;-11.20540364;3.204860283;754.075351;298.6994646;1209.451237;17.95213168;12.38057135;23.52369202;-25.32127385;-41.31385873;-9.328688963;43.27340553;25.35904058;61.18777048;-563.2756034;-945.8484385;-180.7027683;-103.7729082;-295.3159028;87.77008645;351.9716046;-352.2083709;1056.15158;0.397294448;-2.995611104;3.7902;1.856826682;117.3544219;1.435840724;4.121431568;4.616691409;98.59242712;49.36233576;181.4734517;0.874381981;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Kaunas;NA;NA;NA;NA;NA;54.88;23.88;58.96;19;6;6;0.983157601;4;0.016842341;8.970131223;2.002411887;15.93785056;1395.641122;955.2700938;1836.01215;23.00462476;17.61665006;28.39259945;-4.479478309;-19.94509969;10.98614307;27.48410307;10.16002521;44.80818092;8.396208082;-361.5706647;378.3630809;149.1138333;-36.11772587;334.3453924;622.0545929;-58.92230754;1303.031493;1.473900046;-1.807207606;4.755007699;1.62072604;102.432483;1.25326961;3.59738016;4.029666343;86.05612768;43.08577842;158.3986011;0.763201897;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Khoseda.Khard;NA;NA;NA;NA;NA;67.08;59.38;102.42;12;9;8;0.999945741;6;5.43E-05;-2.610588141;-9.462861909;4.241685627;783.9782595;350.9035765;1217.052943;16.86110932;11.56240598;22.15981265;-21.24424823;-36.45362545;-6.034871023;38.10535755;21.06831594;55.14239916;-461.8404445;-825.6774729;-98.00341615;-112.1025953;-294.2651211;70.05993058;401.6826559;-268.0113898;1071.376702;0.568858709;-2.657885482;3.795602901;1.495808629;94.53750239;1.156673892;3.320112191;3.71907993;79.42335419;39.76494332;146.1900336;0.704378133;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Kirov;NA;NA;NA;NA;NA;58.65;49.62;120.46;19;8;8;0.707039344;6;0.292959558;0.684754307;-6.441276834;7.810785447;942.0902652;491.7136775;1392.466853;20.01103134;14.50063782;25.52142486;-18.19670475;-34.01371663;-2.379692858;38.20773609;20.4900422;55.92542997;-358.0974813;-736.4702787;20.27531616;-15.73281994;-205.1729789;173.7073391;447.4226486;-249.0265574;1143.871855;0.155489565;-3.200167312;3.511146442;1.780784243;112.5484179;1.377038881;3.952646991;4.427624504;94.55478126;47.34080493;174.0415875;0.838573503;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Kirovabad;NA;NA;NA;NA;NA;40.72;46.42;296.95;27;4;4;0.999310615;6;0.000689385;13.37487192;6.64765684;20.10208701;1757.826541;1332.655767;2182.997314;24.66603891;19.46404054;29.86803728;3.054151212;-11.87764446;17.98594689;21.6118877;4.885783755;38.33799164;188.2253544;-168.9713992;545.4221081;241.9263807;63.08844552;420.7643158;647.7604677;-9.711203574;1305.232139;4.504619161;1.336765258;7.672473064;1.350205724;85.33516551;1.044082565;2.996930489;3.35706247;71.69223751;35.89420002;131.9598085;0.635813545;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Kolodozero;NA;NA;NA;NA;NA;62.05;37.65;129.71;15;8;8;0.999952886;6;4.71E-05;-2.375722138;-9.74831703;4.996872754;840.2097978;374.2499859;1306.16961;19.72008628;14.01903077;25.42114179;-23.97493281;-40.33922013;-7.610645486;43.69501909;25.36428535;62.02575282;-517.0213655;-908.4860249;-125.5567061;-51.57810229;-247.5729725;144.4167679;414.0862998;-306.460349;1134.632949;0.141977914;-3.329786139;3.613741966;2.010843759;127.088548;1.554938534;4.463289454;4.999629312;106.7703134;53.4567635;196.5260201;0.946908813;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Kotlas;NA;NA;NA;NA;NA;61.23;46.63;83.01;16;8;8;0.999880399;6;0.000119601;-2.066250058;-9.438644537;5.306144422;847.6018908;381.6547453;1313.549036;19.82076041;14.11985988;25.52166095;-23.48846193;-39.85230441;-7.124619443;43.30922234;24.9789869;61.63945778;-501.626964;-893.0809821;-110.172946;-46.66259571;-242.6521381;149.3269467;409.2816347;-311.2454273;1129.808697;0.034533194;-3.437136484;3.506202872;2.010664455;127.0772157;1.554799882;4.462891469;4.999183503;106.7607929;53.45199684;196.5084962;0.946824379;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Lubny;NA;NA;NA;NA;NA;50.02;33;146.68;28;7;6;0.985087;4;0.014913;10.47781692;3.492076128;17.46355771;1388.587324;947.0773109;1830.097337;22.79457904;17.39266877;28.19648931;-1.519133835;-17.02475583;13.98648816;24.31371288;6.944827659;41.68259809;90.28331528;-280.6404477;461.2070783;147.3535578;-38.35708816;333.0642038;587.6404532;-95.0977404;1270.378647;1.798726226;-1.490867753;5.088320205;1.639546394;103.6219595;1.26782295;3.63915401;4.07646003;87.05543708;43.58610332;160.2379728;0.772064425;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Magnitogorsk;NA;NA;NA;NA;NA;53.35;59.08;399.32;24;6;6;0.997513419;4;0.00248606;4.707862351;-2.04028414;11.45600884;1090.752358;664.2586857;1517.24603;21.02586054;15.8076764;26.24404468;-11.36987248;-26.34812772;3.608382763;32.39573301;15.6175866;49.17387943;-180.1820948;-538.4902491;178.1260595;38.90912241;-140.4852584;218.3035032;460.4244472;-199.0929156;1119.94181;1.755382582;-1.422327947;4.93309311;1.375456612;86.93106209;1.063608487;3.052977619;3.419844613;73.03299071;36.56547581;134.4276564;0.64770422;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Minsk;NA;NA;NA;NA;NA;53.87;27.53;219.64;18;6;6;0.992691916;4;0.007307849;8.514197779;1.536213239;15.49218232;1377.674037;936.6542321;1818.693843;22.89147616;17.49556362;28.2873887;-5.318644435;-20.80705057;10.1697617;28.2101206;10.86052002;45.55972118;-13.46789516;-383.9798223;357.044032;141.2203338;-44.28411808;326.7247856;622.1833249;-59.79682592;1304.163476;1.328971708;-1.956969842;4.614913258;1.631466962;103.1113265;1.261575314;3.621220821;4.056371864;86.62644132;43.37131773;159.4483448;0.76825981;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
Moskva..Moscow.;NA;NA;NA;NA;NA;55.75;37.57;200;20;6;6;0.999798731;8;0.000107956;4.734102371;-2.29769373;11.76589847;1128.719066;684.2982842;1573.139849;21.09787164;15.66034788;26.5353954;-11.07800085;-26.68584768;4.52984598;32.17587249;14.69247839;49.65926658;-167.020232;-540.3894062;206.3489421;53.6257609;-133.3092307;240.5607525;526.8659087;-160.3734136;1214.105231;0.62789738;-2.683384101;3.939178861;1.686902974;106.6149713;1.304442688;3.744267162;4.194204308;89.56994218;44.84504225;164.8662788;0.794364697;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
