;couche;min.14C;max.14C;site;level;pays;lat;long;alt;nb_mamm;First_predite;proba_value;Second_predite;proba_value.1;MAT.moy;MAT.min;MAT.max;Tp.moy;Tp.min;Tp.max;Tmax.moy;Tmax.min;Tmax.max;Tmin.moy;Tmin.min;Tmin.max;Mta.moy;Mta.min;Mta.max;It.moy;It.min;It.max;Itc.moy;Itc.min;Itc.max;P.moy;P.min;P.max;D.moy;D.min;D.max;MAT_se.fit;Tp_se.fit;Tmax_se.fit;Tmin_se.fit;Mta_se.fit;It_se.fit;Itc_se.fit;P_se.fit;D_se.fit;MAT_df;Tp_df;Tmax_df;Tmin_df;Mta_df;It_df;Itc_df;P_df;D_df;MAT_residual.scale;Tp_residual.scale;Tmax_residual.scale;Tmin_residual.scale;Mta_residual.scale;It_residual.scale;Itc_residual.scale;P_residual.scale;D_residual.scale
60;Sala de las Chimeneas (Maltravieso cave)_NA;-21996;-21329;Sala de las Chimeneas (Maltravieso cave);NA;spain;39.458;-6.371;450;8;4;0.976125632;6;0.023874368;9.13739822;1.902818453;16.37197799;1375.571984;918.3349496;1832.809019;23.23305549;17.63872385;28.82738712;-3.608205157;-19.66615269;12.44974238;26.84126064;8.853678613;44.82884267;24.3126151;-359.823818;408.4490482;171.8012393;-20.52460301;364.1270815;468.2394641;-238.818537;1175.297465;2.57056316;-0.8362094;5.977335719;1.884559167;119.1071594;1.457285607;4.182986877;4.68564363;100.0649464;50.09958294;184.1838338;0.887441242;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
61;Syrtinskaya cave_horizon 18;-21250;-20205;Syrtinskaya cave;horizon 18;Russia;52.5;58.45;477;11;7;1;6;3.97E-30;3.629167449;-3.108999432;10.36733433;965.3598401;539.4968952;1391.222785;21.1699568;15.95948966;26.38042394;-14.2557618;-29.2118662;0.700342592;35.4257186;18.67238483;52.17905237;-261.776073;-619.5543372;96.00219125;8.982894381;-170.146186;188.1119748;230.6157231;-427.9263014;889.1577476;3.761736292;0.588725175;6.93474741;1.363466124;86.173244;1.054336522;3.026363408;3.390032253;72.3963285;36.24671772;133.2557886;0.642057884;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
62;TDC_III a;-21053.5;-19991;TDC;III a;France;46.5;0.85;100;13;6;0.99807008;8;0.001829131;2.726723349;-4.171133559;9.624580257;953.6553061;517.6996956;1389.610917;17.69738819;12.36343648;23.0313399;-11.16046551;-26.47101953;4.150088506;28.8578537;11.70747718;46.00823022;-185.9590001;-552.2163687;180.2983686;-35.48383517;-218.8581544;147.8904841;403.5845474;-270.5644805;1077.733575;0.928761054;-2.319448294;4.176970403;1.546086476;97.71514293;1.195552577;3.431709417;3.844087454;82.09297062;41.10154195;151.1038441;0.728054034;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
63;TDC_V d;-22284.5;-21749;TDC;V d;France;46.5;0.85;100;7;6;0.995994002;8;0.004004842;1.545325677;-5.438488664;8.529140017;857.1974298;415.8091718;1298.585688;16.87547941;11.47505883;22.2759;-13.02829326;-28.52963928;2.473052753;29.90377268;12.53967726;47.26786809;-231.1537136;-601.9751873;139.66776;-76.74931671;-262.4087494;108.910116;378.7999896;-303.7499258;1061.349905;0.361344347;-2.927342463;3.650031157;1.637542556;103.4953137;1.266273429;3.634706271;4.07147782;86.94903876;43.5328328;160.0421315;0.771120815;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
64;Tossa del Roca_IV;-21834;-16086.5;Tossa del Roca;IV;spain;38.79;-0.281;665;3;6;0.995234174;4;0.004759575;5.024228415;-2.203362614;12.25181944;1128.385917;671.5905818;1585.181253;22.24303385;16.65410644;27.83196126;-11.61241623;-27.65485149;4.430019025;33.85545008;15.88524439;51.82565577;-175.7157074;-559.4810575;208.0496428;85.36629781;-106.7737541;277.5063498;357.280372;-349.094598;1063.655342;1.3471605;-2.056321054;4.750642054;1.878004385;118.6928867;1.452216947;4.168437815;4.669346253;99.71690533;49.92532901;183.5432146;0.884354587;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
65;ucagisli cave_loc.1;-21619.5;-20779.5;ucagisli cave;loc.1;Turkey;35.97;35.96;571;2;4;0.991600334;6;0.008399666;10.44146047;3.518462976;17.36445796;1375.487775;937.9432396;1813.032311;21.68030299;16.32691066;27.03369533;0.534153368;-14.83220295;15.90050969;21.14614963;3.933265215;38.35903404;123.2428558;-244.3494092;490.8351209;142.9045201;-41.13814259;326.9471828;511.6920058;-164.9140897;1188.298101;3.217303078;-0.042745003;6.47735116;1.573266857;99.43298657;1.216570531;3.49203927;3.911666961;83.53617464;41.82411186;153.7602674;0.740853309;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
66;Castelpook_cave_NA;NA;NA;Castelpook_cave;NA;Ireland;51.83;-8.27;20;2;9;1;8;2.38E-17;-11.4821;-18.31122841;-4.652971588;153.7649685;-277.8468909;585.3768279;4.518195669;-0.7626099;9.799001238;-25.16280361;-40.32080715;-10.00480007;29.68099928;12.70150476;46.6604938;-628.0177001;-990.6257732;-265.4096269;-467.6306989;-649.1779229;-286.0834748;314.2422084;-353.1897697;981.6741864;0.139408402;-3.076436613;3.355253417;1.469753254;92.89076093;1.136525878;3.262279413;3.654297563;78.03988491;39.07228084;143.6435607;0.692108625;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
67;Abrigo_do_Lagar_Velho-ALV_TP09;23877;24906;Abrigo_do_Lagar_Velho-ALV;TP09;Portugal;39.75539;-8.73526;98;6;4;0.9999289;6;7.11E-05;8.965739;1.500799;16.43068;1418.135;946.3393;1889.932;23.3237;17.55123;29.09616;-3.523411;-20.09267;13.04585;26.84711;8.286772;45.40744;13.72251;-382.6454;410.0904;186.6117;-11.83813;385.0614;472.6299;-256.9419;1202.202;3.422587;-0.09266233;6.937836;2.092326;132.2384;1.617947;4.644149;5.202222;111.0968;55.62292;204.4896;0.9852791;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
68;Grotta_del_Sambuco_5;22903;23365;Grotta_del_Sambuco;5;Italy;44.1053;11.0006;280;7;6;0.9964819;8;0.00351;4.031217;-3.084625;11.14706;1093.298;643.565;1543.03;19.46229;13.95977;24.9648;-10.81138;-26.60577;4.983014;30.27367;12.58131;47.96603;-163.9117;-541.7434;213.9201;16.71706;-172.4522;205.8863;438.682;-256.7714;1134.135;0.4432116;-2.907647;3.79407;1.946222;123.0043;1.504968;4.319853;4.838957;103.339;51.73883;190.2103;0.9164781;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
69;Grotta_dei_Pipistrelli_Pleis_breccia;19600;20305;Grotta_dei_Pipistrelli;Pleis_breccia;Italy;37.04;14.82;250;2;4;1;6;1.83E-11;12.16069;3.899704;20.42168;1647.961;1125.854;2170.069;24.32011;17.93208;30.70814;2.810583;-15.52559;21.14676;21.50952;0.9699465;42.0491;155.9392;-282.6967;594.5752;266.3825;46.77034;485.9946;540.3391;-267.033;1347.711;5.922449;2.03234;9.812559;2.726263;172.3042;2.108156;6.051241;6.778401;144.7571;72.47565;266.4462;1.283801;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
