"","couche","min.14C","max.14C","site","level","pays","lat","long","alt","nb_mamm","First_predite","proba_value","Second_predite","proba_value.1","MAT.moy","MAT.min","MAT.max","Tp.moy","Tp.min","Tp.max","Tmax.moy","Tmax.min","Tmax.max","Tmin.moy","Tmin.min","Tmin.max","Mta.moy","Mta.min","Mta.max","It.moy","It.min","It.max","Itc.moy","Itc.min","Itc.max","P.moy","P.min","P.max","D.moy","D.min","D.max","MAT_se.fit","Tp_se.fit","Tmax_se.fit","Tmin_se.fit","Mta_se.fit","It_se.fit","Itc_se.fit","P_se.fit","D_se.fit","MAT_df","Tp_df","Tmax_df","Tmin_df","Mta_df","It_df","Itc_df","P_df","D_df","MAT_residual.scale","Tp_residual.scale","Tmax_residual.scale","Tmin_residual.scale","Mta_residual.scale","It_residual.scale","Itc_residual.scale","P_residual.scale","D_residual.scale"
"14","Kilgreany Cave_NA",-12574,-11761,"Kilgreany Cave",NA,"UK",52.08,-7.65,16,2,9,1,8,2.38e-17,-11.4021,-18.23122841,-4.572971588,153.7649685,-277.8468909,585.3768279,4.598195669,-0.6826099,9.879001238,-25.08280361,-40.24080715,-9.924800069,29.68099928,12.70150476,46.6604938,-628.0177001,-990.6257732,-265.4096269,-467.6306989,-649.1779229,-286.0834748,314.2422084,-353.1897697,981.6741864,0.139408402,-3.076436613,3.355253417,1.469753254,92.89076093,1.136525878,3.262279413,3.654297563,78.03988491,39.07228084,143.6435607,0.692108625,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"15","Lapa do Picareiro_Camada E top",-12052,-11245.5,"Lapa do Picareiro","Camada E top","Portugal",39.531,-8.652,469,4,4,0.999521696,6,0.000478304,15.98366091,8.775984911,23.1913369,1574.349438,1118.812764,2029.886111,26.57116762,20.99764005,32.1446952,6.806106708,-9.192124938,22.80433835,19.76506092,1.844370649,37.68575118,238.553125,-144.1547913,621.2610413,241.0468308,49.43620496,432.6574566,560.8092298,-143.619382,1265.237842,3.286795579,-0.107307962,6.680899119,1.859234359,117.506591,1.437702525,4.126775674,4.622677699,98.72026823,49.42634205,181.7087615,0.875515759,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"16","Merlin's cave - west wall section_G",-12381,-11770,"Merlin's cave - west wall section","G","UK",52.08,-2.65,90,5,9,0.974273862,8,0.025726005,-5.062746671,-11.66261176,1.537118416,509.475931,92.35388107,926.597981,12.27230571,7.16878412,17.37582731,-20.97255174,-35.62168005,-6.323423425,33.24485745,16.83538814,49.65432676,-490.2233847,-840.6582013,-139.7885681,-253.8639793,-429.316411,-78.4115477,296.7525129,-348.2728468,941.7778726,0.766727985,-2.341156647,3.874612617,1.186978823,75.01896379,0.917863013,2.634630384,2.951225868,63.02533472,31.55493606,116.0071353,0.558949796,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"17","Merlin's cave - west wall section_H I/f",-12089.5,-11408,"Merlin's cave - west wall section","H I/f","UK",52.08,-2.65,90,4,9,0.999999855,8,1.45e-07,-8.003040101,-14.63338131,-1.37269889,333.5106056,-85.5375842,752.5587954,9.553103491,4.426015424,14.68019156,-23.99745843,-38.71423186,-9.280684997,33.55056192,17.06531879,50.03580505,-580.7247083,-932.7777238,-228.6716927,-345.9585855,-522.2212018,-169.6959691,279.1119589,-368.8919272,927.115845,0.256082593,-2.866153284,3.378318469,1.227723658,77.59410266,0.949370043,2.725068038,3.052531139,65.18877421,32.63810674,119.9892549,0.578136589,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"18","Miron_305-306",-13579.5,-11810.5,"Miron","305-306","spain",43.25,-3.45,260,7,6,0.880955727,4,0.11904427,10.42807412,3.184572912,17.67157533,1327.260543,869.459659,1785.061428,23.71673495,18.11550457,29.31796533,-1.77451839,-17.85226805,14.30323127,25.49125334,7.481489627,43.50101706,45.90670433,-338.703433,430.5168417,145.0251122,-47.53789993,337.5881242,485.9786339,-221.9512876,1193.908555,1.65627444,-1.754699238,5.067248118,1.892902812,119.6344911,1.463737553,4.201506517,4.70638872,100.5079711,50.32139245,184.9992842,0.891370275,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"19","Mureybet I_NA",-12645.5,-11619.5,"Mureybet I",NA,"Syrie",35.92,37.67,322,3,3,0.866536991,4,0.133435742,20.54756844,12.37413078,28.7210061,2468.824538,1952.250179,2985.398896,31.34433041,25.02400189,37.66465894,8.701066249,-9.440779906,26.8429124,22.64326417,2.321367783,42.96516055,321.0641894,-112.9230345,755.0514133,421.6015924,204.3169216,638.8862631,-15.75509836,-814.570604,783.0604073,8.316119921,4.467238018,12.16500182,2.661092828,168.1853312,2.057760958,5.906588964,6.616365715,141.2967636,70.74314417,260.0768858,1.253111904,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"20","Peña de Estebanvela_lvl 1",-13279.5,-12434.5,"Peña de Estebanvela","lvl 1","spain",41.419,-3.374,1065,6,6,0.957311802,4,0.04268813,12.95243326,5.79289781,20.1119687,1248.542282,796.0481688,1701.036396,27.05510516,21.51880354,32.59140678,-0.106297235,-15.99767562,15.78508115,27.16140239,9.360405613,44.96239918,-19.21506064,-399.3668452,360.9367239,111.8260081,-78.50483754,302.1568538,455.9708355,-243.7528506,1155.694522,1.569927728,-1.801506368,4.941361825,1.813279662,114.6021805,1.40216683,4.024774157,4.508418972,96.28019929,48.20467112,177.217466,0.853875636,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"21","Pishma 1_Layer 5",-12074.5,-10894.5,"Pishma 1","Layer 5","Russia",64.62,48.96,161,9,8,0.999999911,9,8.78e-08,-7.917161568,-14.95308591,-0.881237231,404.3725584,-40.30913491,849.0542517,14.83553265,9.394816624,20.27624868,-29.85422263,-45.47123253,-14.23721272,44.68975528,27.19609701,62.18341355,-714.2107501,-1087.799122,-340.622378,-246.3260196,-433.3707572,-59.28128194,160.9851862,-526.6576014,848.6279738,-0.071317754,-3.384543226,3.241907718,1.691098035,106.8801058,1.30768663,3.753578562,4.20463463,89.79268846,44.95656478,165.2762752,0.796340156,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"22","Pont D'Ambon_2",-12804,-10606,"Pont D'Ambon","2","France",45.54,0.24,80,10,6,0.998874061,4,0.001101868,4.47546706,-2.499876608,11.45081073,1044.989296,604.1363984,1485.842194,20.54496406,15.15109365,25.93883448,-10.85863795,-26.34118237,4.62390648,31.40360201,14.06056752,48.7466365,-176.9968787,-547.3685828,193.3748253,27.80694267,-157.6273036,213.2411889,373.7753108,-307.9467394,1055.497361,1.3094995,-1.97519846,4.59419746,1.628708965,102.9370166,1.259442619,3.615099141,4.04951456,86.47999917,43.29799844,159.1787971,0.766961066,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
"23","Pont D'Ambon_3A",-12680,-10714,"Pont D'Ambon","3A","France",45.54,0.24,80,9,6,0.999534215,4,0.00032992,4.731731516,-2.388098018,11.85156105,1066.232926,616.2482896,1516.217562,20.31733621,14.81173825,25.82293417,-9.903709522,-25.70695626,5.899537216,30.22104573,12.51877111,47.92332035,-150.935751,-528.9792601,227.1077581,32.48913008,-156.7861639,221.764424,406.2534383,-289.5896654,1102.096542,0.859896752,-2.492839781,4.212633286,1.77472105,112.1652144,1.372350356,3.939189065,4.41254938,94.23284225,47.17961951,173.4490127,0.835718337,38,38,38,38,38,38,38,38,38,3.036408522,191.9058845,2.347983822,6.739643531,7.549525905,161.2250022,80.72062859,296.7576568,1.429848528
