;couche;min.14C;max.14C;site;level;pays;lat;long;alt;nb_mamm;First_predite;proba_value;Second_predite;proba_value.1;MAT.moy;MAT.min;MAT.max;Tp.moy;Tp.min;Tp.max;Tmax.moy;Tmax.min;Tmax.max;Tmin.moy;Tmin.min;Tmin.max;Mta.moy;Mta.min;Mta.max;It.moy;It.min;It.max;Itc.moy;Itc.min;Itc.max;P.moy;P.min;P.max;D.moy;D.min;D.max;MAT_se.fit;Tp_se.fit;Tmax_se.fit;Tmin_se.fit;Mta_se.fit;It_se.fit;Itc_se.fit;P_se.fit;D_se.fit;MAT_df;Tp_df;Tmax_df;Tmin_df;Mta_df;It_df;Itc_df;P_df;D_df;MAT_residual.scale;Tp_residual.scale;Tmax_residual.scale;Tmin_residual.scale;Mta_residual.scale;It_residual.scale;Itc_residual.scale;P_residual.scale;D_residual.scale
1;Abeurador_10b;-18067;-17786;Abeurador;10b;France;43.33;2.6;230;8;6;0.999518067;4;0.000412777;4.977305879;-2.083417036;12.03802879;1077.393106;631.1441029;1523.642109;18.39539905;12.93550686;23.85529124;-7.116730182;-22.78878326;8.555322898;25.51212923;7.956813414;43.06744505;-76.70953938;-451.6146484;298.1955696;11.92042016;-175.7835689;199.6244093;467.360775;-222.7056548;1157.427205;0.89460939;-2.430293764;4.219512543;1.716133222;108.4623698;1.327045756;3.809146921;4.266880469;91.12198856;45.62210634;167.723042;0.808129257;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
2;Abrigo del Monte_1;-16624.5;-16119.5;Abrigo del Monte;1;spain;40.455;-4.09;672;5;6;0.965436949;4;0.034550528;5.102265044;-1.978080508;12.1826106;1134.990893;687.5017076;1582.480078;21.35578912;15.8807232;26.83085504;-10.22868635;-25.94429404;5.486921333;31.58447548;13.98037123;49.18857973;-149.3617797;-525.3087972;226.5852377;73.49235891;-114.7332832;261.718001;384.6692094;-307.3150018;1076.653421;1.690361006;-1.643782471;5.024504484;1.735748459;109.7020842;1.342213761;3.852685101;4.3156505;92.16350406;46.14356259;169.6401001;0.817366096;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
3;Andernach-Martinsberg_lower horizon;-16243.5;-14810.5;Andernach-Martinsberg;lower horizon;Germany;50.43;7.4;80;10;6;0.997617578;8;0.002379072;2.042836749;-4.963473783;9.049147281;899.8237908;457.0137374;1342.633844;17.71016966;12.29235329;23.12798602;-12.87152599;-28.42280478;2.679752808;30.58169564;13.16166718;48.0017241;-223.8131176;-595.8290776;148.2028424;-51.01315197;-237.2706289;135.244325;377.3959795;-307.3525587;1062.144518;0.434655367;-2.864624928;3.733935661;1.660825683;104.9668447;1.284277727;3.686385738;4.12936745;88.18530922;44.15179715;162.317664;0.782084868;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
4;Arlanpe_I;-18545;-17009;Arlanpe;I;spain;43.198;-2.766;192;8;6;0.998741301;4;0.000952396;4.15729941;-2.850901627;11.16550045;1085.184108;642.254572;1528.113645;20.49526444;15.07598619;25.91454269;-11.24047431;-26.79594929;4.315000666;31.73573876;14.31100987;49.16046764;-178.5215752;-550.6379158;193.5947655;40.09814499;-146.2095896;226.4058796;499.1809383;-185.7523648;1184.114241;0.925479277;-2.374691259;4.225649813;1.662770852;105.0897825;1.285781881;3.690703255;4.13420379;88.28859238;44.203508;162.5077714;0.783000851;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
5;Bajslan–tash cave_layer 4;-17143.5;-15664.5;Bajslan–tash cave;layer 4;Russia;52.903;56.835;346;17;6;0.99933062;4;0.000611522;3.238007301;-3.664072682;10.14008728;1046.348786;610.1262698;1482.571301;20.90317761;15.56596029;26.24039493;-14.01910261;-29.33903021;1.300824994;34.92228021;17.76140372;52.08315671;-250.6467677;-617.1283702;115.8348347;20.41880516;-163.0677814;203.9053917;379.5829635;-294.9787987;1054.144726;1.623876471;-1.626321529;4.874074471;1.550678536;98.00536849;1.19910351;3.441902001;3.855504849;82.33679647;41.2236184;151.5526405;0.730216441;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
7;Bois Ragot_6;-15257;-14724;Bois Ragot;6;France;46.6;0.683;80;8;6;0.99994347;4;4.01E-05;4.462267008;-2.588772476;11.51330649;1019.007082;573.3700869;1464.644077;18.07418721;12.62178299;23.52659144;-8.166661003;-23.81722064;7.483898634;26.24084822;8.709608642;43.77208779;-101.1721727;-475.5631179;273.2187725;-11.66045107;-199.1070135;175.7861113;442.5587464;-246.5612915;1131.678784;0.746920438;-2.573422775;4.067263652;1.706390644;107.8466232;1.319512048;3.787522195;4.242657166;90.60468427;45.36310726;166.7708695;0.803541465;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
8;Bourrouilla_B3;-15384;-15081;Bourrouilla;B3;France;43.4333;-1.0528;50;3;6;0.997726044;8;0.002270917;2.795629705;-4.476262657;10.06752207;970.9681945;511.3729438;1430.563445;19.50575331;13.88256871;25.12893791;-13.26889942;-29.40966638;2.871867529;32.77465273;14.69429913;50.85500634;-222.5175991;-608.6352292;163.6000309;-0.678150047;-193.9959195;192.6396194;370.7751703;-339.9295069;1081.479848;0.118331395;-3.306011712;3.542674502;1.919281175;121.301646;1.484135326;4.260056203;4.771974143;101.9085902;51.02264133;187.5773238;0.903791879;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
11;Chulatov_NA;-18515;-17288.5;Chulatov;NA;Ukraine;51.833;33.117;116;10;7;1;6;1.23E-18;1.340782423;-5.279652773;7.961217619;829.6042308;411.1821171;1248.026345;18.25815139;13.13872342;23.37757937;-15.52999146;-30.2247774;-0.835205526;33.78814286;17.32752939;50.24875633;-306.2927623;-657.8197955;45.2342709;-72.76920204;-248.7684745;103.2300704;254.770091;-392.2656494;901.8058314;2.934675579;-0.182895543;6.052246701;1.214609353;76.76525753;0.939229056;2.695959391;3.019924595;64.4924404;32.28947283;118.707553;0.571961046;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
12;Cisowa Skala_layer II;-16964.5;-16228;Cisowa Skala;layer II;Poland;49.436;20.104;685;10;6;0.999884232;8;0.000112112;3.129904392;-3.920006222;10.17981501;935.5205651;489.9549166;1381.086213;17.45577581;12.00424451;22.9073071;-10.40074632;-26.04880031;5.247307664;27.85652213;10.3280893;45.38495495;-159.5266623;-533.8576676;214.804343;-45.63456824;-233.0511205;141.781984;411.6513661;-277.3583438;1100.661076;0.485936724;-2.833874903;3.805748351;1.70525213;107.7746673;1.318631661;3.784995136;4.239826438;90.54423224;45.3328407;166.6595989;0.803005337;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
13;Coimbre_Co.B.1a;-15769.5;-15293;Coimbre;Co.B.1a;spain;43.327;-4.687;372;6;4;0.800517152;6;0.199478552;6.149748007;-0.927650634;13.22714665;1214.214504;766.9115682;1661.51744;20.75136716;15.27858002;26.2241543;-6.861465007;-22.5705317;8.847601685;27.61283217;10.01605492;45.20960941;-74.51967052;-450.310215;301.2708739;87.92982829;-100.2174724;276.077129;446.1989798;-245.4972206;1137.89518;2.300151152;-1.032604621;5.632906925;1.732813367;109.5165817;1.339944123;3.846170342;4.308352882;92.00765872;46.0655354;169.3532445;0.815983958;38;38;38;38;38;38;38;38;38;3.036408522;191.9058845;2.347983822;6.739643531;7.549525905;161.2250022;80.72062859;296.7576568;1.429848528
