Site;Country;Biome;Lat;long;alt;MAT;Tp;Tmax;Tmin;Mta;It;Itc;P;D;;Rod_I;Rod_II;Rod_II/III;Rod_III;Rod_IV;Rod_V;Rod_VI;Rod_VII;Rod_VIII;Rod_IX;Rod_S;;EulRod_I;EulRod_II;EulRod_II/III;EulRod_III;EulRod_IV;EulRod_V;EulRod_VI;EulRod_VII;EulRod_VIII;EulRod_IX;EulRod_S
Pingnan;China;5;23º23´N;110º03´E;39;22;2640;29;12;17;460;460;1760;0;;17.329000;37.564000;4.364000;0.793000;0.793000;26.850000;6.386000;3.650000;2.221000;0.000000;14;;17.211765;36.817647;5.064706;0.652941;0.652941;27.994118;6.729412;3.005882;1.829412;0.000000;17
Shangrao;China;5;28º26´N;117º56´E;70;18.3;2196;29.1;6.5;22.6;313;344;1755;0;;11.832000;22.814000;1.155000;1.155000;1.155000;26.223000;22.286000;4.973000;8.382000;0.000000;22;;11.082143;21.496429;1.800000;0.907143;0.907143;30.721429;21.378571;5.096429;6.585714;0.000000;28
Shaoguan;China;5;24º48´N;113º35´E;156;21;2520;30.1;10.7;19.4;424;431;1499;0;;16.100000;37.892000;4.700000;0.854000;0.854000;26.354000;6.877000;3.931000;2.392000;0.000000;13;;16.206250;37.037500;5.381250;0.693750;0.693750;27.662500;7.150000;3.193750;1.943750;0.000000;16
Angoulème;France;6;44º53´N;0º28´W;100;12.1;1452;19.6;4.6;15;213;213;875;0;;1.693000;1.693000;1.693000;1.693000;14.467000;3.360000;35.573000;9.627000;25.733000;4.440000;15;;1.588000;1.588000;1.588000;1.588000;16.052000;4.016000;39.048000;10.148000;18.572000;5.796000;25
Belgrade;Serbia;6;44º48´N;20º28´E;132;12.1;1449;22.6;-0.2;22.8;118;150;701;0;;1.589000;1.589000;1.589000;1.589000;21.944000;4.367000;31.200000;6.478000;25.911000;3.700000;9;;0.953333;0.953333;0.953333;0.953333;19.500000;4.286667;35.606667;8.553333;20.766667;7.440000;15
Blagoveschenks;Russia;6;50º15´N;106º30´E;142;1.1;892;21.7;-23.3;45;-455;-20;483;0;;0.740000;0.740000;0.740000;0.740000;4.627000;4.073000;25.180000;14.627000;45.180000;3.333000;15;;0.528571;0.528571;0.528571;0.528571;3.304762;4.495238;25.123810;13.619048;44.966667;6.347619;21
Moscow;Russia;6;55º45´N;37º34´E;156;4.5;884;17.9;-12.8;30.7;210;-63;624;0;;1.270000;1.270000;1.270000;1.270000;15.845000;3.770000;32.925000;10.135000;28.880000;3.330000;20;;0.976923;0.976923;0.976923;0.976923;13.919231;2.900000;34.426923;10.488462;27.469231;6.853846;26
Seoul;Korean;6;37º33´N;126º58´E;38;11.9;1576;25.9;-3.7;29.6;45;172;1373;0;;3.492000;3.492000;1.954000;1.954000;4.515000;5.415000;41.308000;14.569000;23.285000;0.000000;13;;2.522222;2.522222;1.411111;1.411111;3.261111;8.538889;41.866667;12.372222;21.444444;4.627778;18
Tsingtao;China;6;36º04´N;120º19´E;77;12.3;1476;25.1;0.1;25;125;180;647;0;;1.388000;5.550000;1.388000;1.388000;4.513000;11.800000;39.925000;20.138000;10.763000;3.125000;8;;1.009091;4.036364;1.009091;1.009091;3.281818;11.609091;41.154545;26.763636;7.827273;2.272727;11
Vlissingen;Netherlands;6;51º27´N;3º36´E;12;9.9;1188;17.4;2.9;14.5;157;157;689;0;;2.117000;2.117000;2.117000;2.117000;11.142000;4.200000;31.967000;5.092000;30.775000;8.325000;12;;1.411111;1.411111;1.411111;1.411111;14.094444;2.800000;36.772222;5.894444;24.866667;9.900000;18
Almaty;Kazakhstan;7;43º16´N;76º53´E;775;6.8;1064;21.4;-9.4;30.8;-121;31;597;2.3;;0.347000;0.972000;2.013000;3.575000;9.041000;1.128000;12.581000;61.644000;5.813000;2.863000;32;;0.277500;0.777500;1.610000;3.692500;9.190000;1.527500;11.815000;60.647500;7.025000;3.415000;40
Astrakhan;Russia;7;46º21´N;48º02´E;-25;10;1327;25.1;-5.6;30.7;-12;137;217;6.3;;0.000000;0.000000;2.562000;0.000000;8.969000;0.000000;10.254000;78.200000;0.000000;0.000000;13;;0.000000;0.000000;2.561538;0.000000;8.969231;0.000000;10.253846;78.200000;0.000000;0.000000;13
Fort.Schevchenko;Kazakhstan;7;44º33´N;50º17´E;23;11.1;1372;25.8;-3.6;29.4;39;162;130;7.7;;0.505000;0.505000;2.018000;4.291000;9.591000;0.505000;12.623000;69.441000;0.505000;0.000000;22;;0.976923;0.976923;2.257692;6.742308;11.226923;0.426923;11.230769;65.715385;0.426923;0.000000;26
Lhasa;Tibet;7;29º40´N;91º10´E;3656;7.9;975;15.9;-1.8;17.7;43;43;438;5.2;;1.850000;1.850000;1.850000;1.850000;1.850000;1.850000;1.850000;85.183000;1.850000;0.000000;6;;1.850000;1.850000;1.850000;1.850000;1.850000;1.850000;1.850000;85.183333;1.850000;0.000000;6
Paotou;China;7;40º34´N;109º50´E;1044;6.4;1095;22.7;-11.8;34.5;-172;53;304;1.2;;0.529000;0.529000;0.529000;0.529000;0.529000;0.529000;11.638000;83.067000;2.114000;0.000000;21;;0.482609;0.482609;0.482609;1.930435;3.017391;1.569565;11.713043;78.378261;1.930435;0.000000;23
Turgay;Russia;7;49º37´N;63º29´E;99;4.9;1125;25;-15.5;40.5;-261;84;220;6;;0.000000;0.000000;0.000000;0.000000;5.357000;0.000000;22.021000;64.879000;7.736000;0.000000;14;;0.000000;0.000000;0.000000;2.081250;8.331250;1.562500;20.831250;60.412500;6.768750;0.000000;16
Urumchi;China;7;43º47´N;87º37´E;912;5.3;1163;23.9;-15.8;39.7;-263;66;276;4.7;;1.009000;1.009000;1.009000;4.036000;4.036000;1.009000;11.609000;72.218000;4.036000;0.000000;11;;0.853846;0.853846;0.853846;5.976923;5.976923;0.853846;9.823077;67.515385;7.261538;0.000000;13
Dudinka;Russia;8;69º24´N;86º11´E;20;-10.2;333;13.8;-28.4;42.2;-670;-291;399;0;;0.000000;0.000000;0.000000;0.000000;2.778000;0.000000;12.033000;2.778000;50.922000;31.478000;9;;0.000000;0.000000;0.000000;0.000000;1.666667;0.000000;14.993333;3.886667;51.660000;27.773333;15
